"","ColName","Description"
"1","Host","Host species"
"2","HostClass","Host taxonomic class"
"3","HostOrder","Host taxonomic order"
"4","HostFamily","Host taxonomic family"
"5","HostGenus","Host genus"
"6","HostTaxID","Host NCBI taxid"
"7","HostNCBIResolved","Was host matched in NCBI Taxonomy database? TRUE/FALSE"
"8","Pathogen","Pathogen species"
"9","PathogenType","Pathogen type (bacteria/rickettsia, virus, helminth, protozoa, fungi, helminth, other)"
"10","PathogenClass","Pathogen taxonomic class"
"11","PathogenOrder","Pathogen taxonomic order"
"12","PathogenFamily","Pathogen taxonomic family"
"13","PathogenGenus","Pathogen taxonomic genus"
"14","PathogenTaxID","Pathogen NCBI taxid"
"15","PathogenNCBIResolved","Was pathogen matched in NCBI Taxonomy database? TRUE/FALSE"
"16","ICTVRatified","Is virus species ratified by ICTV? TRUE/FALSE"
"17","PublicationYear","Year association was published in scientific literature (if applicable and known)"
"18","ReleaseYear","Year association record was reported on NCBI Nucleotide database (if applicable)"
"19","ReferenceText","Text description of source reference; either transferred verbatim from original database, accessed via PMID, or NCBI Nucleotide"
"20","PMID","PubMed ID if primary source is in PubMed"
"21","NCBIAccession","NCBI Nucleotide accession is primary source is NCBI Nucleotide"
"22","Database","Source database"
"23","DatabaseVersion","Version of source database that was accessed for CLOVER"
"24","DetectionMethod","Detection method (reconciled and harmonised to a standardised classification system)"
"25","Detection_NotSpecified","True/false flag"
"26","Detection_Serology","True/false flag"
"27","Detection_Genetic","True/false flag"
"28","Detection_Isolation","True/false flag"
"29","HostOriginal","Host species as listed in source database"
"30","PathogenOriginal","Pathogen species as listed in source database"
"31","DetectionMethodOriginal","Detection method as described in source database"
