"Original","Submitted","Accepted_name","Selected_family","Selected_order","Selected_class","Synonyms"
"leptotila verreauxi","Leptotila verreauxi","Leptotila verreauxi","Columbidae","Columbiformes","Aves",NA
"streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis","Columbidae","Columbiformes","Aves",NA
"kyphosus vaigiensis","Kyphosus vaigiensis","Kyphosus vaigiensis","Kyphosidae","Centrarchiformes","Actinopteri","Kyphosus gibsoni"
"takifugu niphobles","Takifugu niphobles","Takifugu niphobles","Tetraodontidae","Tetraodontiformes","Actinopteri","Fugu niphobles"
"takifugu niphobles","Takifugu niphobles","Takifugu niphobles","Tetraodontidae","Tetraodontiformes","Actinopteri","Gastrophysus niphobles"
"takifugu niphobles","Takifugu niphobles","Takifugu niphobles","Tetraodontidae","Tetraodontiformes","Actinopteri","Spheroides niphobles"
"streptopelia senegalensis","Streptopelia senegalensis","Streptopelia senegalensis","Columbidae","Columbiformes","Aves",NA
"treron sieboldii","Treron sieboldii","Treron sieboldii","Columbidae","Columbiformes","Aves",NA
"zenaida macroura","Zenaida macroura","Zenaida macroura","Columbidae","Columbiformes","Aves",NA
"alcedo leucogaster","Alcedo leucogaster","Alcedo leucogaster","Alcedinidae","Coraciiformes","Aves",NA
"merops apiaster","Merops apiaster","Merops apiaster","Meropidae","Coraciiformes","Aves",NA
"cuculus canorus","Cuculus canorus","Cuculus canorus","Cuculidae","Cuculiformes","Aves",NA
"piaya minuta","Piaya minuta","Piaya minuta","Cuculidae","Cuculiformes","Aves",NA
"falco cherrug","Falco cherrug","Falco cherrug","Falconidae","Falconiformes","Aves",NA
"falco columbarius","Falco columbarius","Falco columbarius","Falconidae","Falconiformes","Aves",NA
"falco femoralis","Falco femoralis","Falco femoralis","Falconidae","Falconiformes","Aves",NA
"takifugu oblongus","Takifugu oblongus","Takifugu oblongus","Tetraodontidae","Tetraodontiformes","Actinopteri","Torquigener oblongus"
"takifugu oblongus","Takifugu oblongus","Takifugu oblongus","Tetraodontidae","Tetraodontiformes","Actinopteri","Tetraodon waandersii"
"takifugu oblongus","Takifugu oblongus","Takifugu oblongus","Tetraodontidae","Tetraodontiformes","Actinopteri","Gastrophysus oblongus"
"takifugu oblongus","Takifugu oblongus","Takifugu oblongus","Tetraodontidae","Tetraodontiformes","Actinopteri","Tetrodon oblongus"
"falco naumanni","Falco naumanni","Falco naumanni","Falconidae","Falconiformes","Aves",NA
"falco peregrinus","Falco peregrinus","Falco peregrinus","Falconidae","Falconiformes","Aves",NA
"falco punctatus","Falco punctatus","Falco punctatus","Falconidae","Falconiformes","Aves",NA
"falco rusticolus","Falco rusticolus","Falco rusticolus","Falconidae","Falconiformes","Aves","Falco rusticolus obsoletus"
"falco rusticolus","Falco rusticolus","Falco rusticolus","Falconidae","Falconiformes","Aves","Falco rusticolus uralensis"
"falco rusticolus","Falco rusticolus","Falco rusticolus","Falconidae","Falconiformes","Aves","Falco rusticolus rusticolus"
"falco sparverius","Falco sparverius","Falco sparverius","Falconidae","Falconiformes","Aves",NA
"falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Falconidae","Falconiformes","Aves",NA
"hieraaetus fasciatus","Hieraaetus fasciatus","Aquila fasciata","Accipitridae","Falconiformes","Aves","Hieraaetus fasciatus"
"hieraaetus pennatus","Hieraaetus pennatus","Hieraaetus pennatus","Accipitridae","Falconiformes","Aves","Hieraaetus dubius"
"alectoris barbara","Alectoris barbara","Alectoris barbara","Phasianidae","Galliformes","Aves",NA
"alectoris chukar","Alectoris chukar","Alectoris chukar","Phasianidae","Galliformes","Aves",NA
"takifugu rubripes","Takifugu rubripes","Takifugu rubripes","Tetraodontidae","Tetraodontiformes","Actinopteri","Tetraodon rubripes"
"alectoris rufa","Alectoris rufa","Alectoris rufa","Phasianidae","Galliformes","Aves",NA
"bonasa bonasia","Bonasa bonasia","Tetrastes bonasia","Phasianidae","Galliformes","Aves","Bonasa bonasia"
"bonasa umbellus","Bonasa umbellus","Bonasa umbellus","Phasianidae","Galliformes","Aves",NA
"chrysolophus pictus","Chrysolophus pictus","Chrysolophus pictus","Phasianidae","Galliformes","Aves",NA
"coturnix coturnix","Coturnix coturnix","Coturnix coturnix","Phasianidae","Galliformes","Aves","Coturnix corturnix"
"coturnix japonica","Coturnix japonica","Coturnix japonica","Phasianidae","Galliformes","Aves",NA
"crossoptilon crossoptilon","Crossoptilon crossoptilon","Crossoptilon crossoptilon","Phasianidae","Galliformes","Aves",NA
"francolinus squamatus","Francolinus squamatus","Francolinus squamatus","Phasianidae","Galliformes","Aves","Pternistis squamatus"
"gallus gallus","Gallus gallus","Gallus gallus","Phasianidae","Galliformes","Aves",NA
"gallus gallus domesticus","Gallus gallus","Gallus gallus","Phasianidae","Galliformes","Aves",NA
"uranoscopus scaber","Uranoscopus scaber","Uranoscopus scaber","Uranoscopidae","Uranoscopiformes","Actinopteri",NA
"lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Phasianidae","Galliformes","Aves",NA
"lagopus lagopus scotica","Lagopus lagopus","Lagopus lagopus","Phasianidae","Galliformes","Aves",NA
"lagopus muta","Lagopus muta","Lagopus muta","Phasianidae","Galliformes","Aves","Lagopus mutus"
"lophophorus lhuysii","Lophophorus lhuysii","Lophophorus lhuysii","Phasianidae","Galliformes","Aves","Lophophorus ihuysii"
"lophura leucomelanos","Lophura leucomelanos","Lophura leucomelanos","Phasianidae","Galliformes","Aves","Lophura leucomelana"
"lophura nycthemera","Lophura nycthemera","Lophura nycthemera","Phasianidae","Galliformes","Aves",NA
"meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo","Phasianidae","Galliformes","Aves",NA
"numida meleagris","Numida meleagris","Numida meleagris","Numididae","Galliformes","Aves",NA
"pavo cristatus","Pavo cristatus","Pavo cristatus","Phasianidae","Galliformes","Aves",NA
"penelope superciliaris","Penelope superciliaris","Penelope superciliaris","Cracidae","Galliformes","Aves",NA
"huso huso","Huso huso","Huso huso","Acipenseridae","Acipenseriformes","Actinopterygii",NA
"perdix perdix","Perdix perdix","Perdix perdix","Phasianidae","Galliformes","Aves",NA
"phasianus colchicus","Phasianus colchicus","Phasianus colchicus","Phasianidae","Galliformes","Aves",NA
"tetrao tetrix","Tetrao tetrix","Lyrurus tetrix","Phasianidae","Galliformes","Aves","Tetrao tetrix"
"tetrao urogallus","Tetrao urogallus","Tetrao urogallus","Phasianidae","Galliformes","Aves",NA
"tragopan caboti","Tragopan caboti","Tragopan caboti","Phasianidae","Galliformes","Aves",NA
"tympanuchus cupido","Tympanuchus cupido","Tympanuchus cupido","Phasianidae","Galliformes","Aves",NA
"gavia stellata","Gavia stellata","Gavia stellata","Gaviidae","Gaviiformes","Aves",NA
"balearica pavonina","Balearica pavonina","Balearica pavonina","Gruidae","Gruiformes","Aves",NA
"fulica americana","Fulica americana","Fulica americana","Rallidae","Gruiformes","Aves",NA
"fulica atra","Fulica atra","Fulica atra","Rallidae","Gruiformes","Aves",NA
"polyodon spathula","Polyodon spathula","Polyodon spathula","Polyodontidae","Acipenseriformes","Actinopterygii",NA
"gallicrex cinerea","Gallicrex cinerea","Gallicrex cinerea","Rallidae","Gruiformes","Aves",NA
"grus grus","Grus grus","Grus grus","Gruidae","Gruiformes","Aves",NA
"grus japonensis","Grus japonensis","Grus japonensis","Gruidae","Gruiformes","Aves",NA
"grus monacha","Grus monacha","Grus monacha","Gruidae","Gruiformes","Aves",NA
"grus nigricollis","Grus nigricollis","Grus nigricollis","Gruidae","Gruiformes","Aves",NA
"porphyrio martinica","Porphyrio martinica","Porphyrio martinica","Rallidae","Gruiformes","Aves","Porphyrula martinica"
"porphyrio martinica","Porphyrio martinica","Porphyrio martinica","Rallidae","Gruiformes","Aves","Porphyrio martinicus"
"rallus aquaticus","Rallus aquaticus","Rallus aquaticus","Rallidae","Gruiformes","Aves",NA
"otis tarda","Otis tarda","Otis tarda","Otididae","Otidiformes","Aves",NA
"acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Sylviidae","Passeriformes","Aves",NA
"acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Sylviidae","Passeriformes","Aves",NA
"anguilla anguilla","Anguilla anguilla","Anguilla anguilla","Anguillidae","Anguilliformes","Actinopterygii","Anguilla vulgaris"
"acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Sylviidae","Passeriformes","Aves",NA
"agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Icteridae","Passeriformes","Aves",NA
"alauda arvensis","Alauda arvensis","Alauda arvensis","Alaudidae","Passeriformes","Aves",NA
"alethe diademata","Alethe diademata","Alethe diademata","Turdidae","Passeriformes","Aves",NA
"andropadus latirostris","Andropadus latirostris","Eurillas latirostris","Pycnonotidae","Passeriformes","Aves","Andropadus latirostris"
"andropadus virens","Andropadus virens","Eurillas virens","Pycnonotidae","Passeriformes","Aves","Andropadus hallae"
"andropadus virens","Andropadus virens","Eurillas virens","Pycnonotidae","Passeriformes","Aves","Andropadus virens"
"anthus campestris","Anthus campestris","Anthus campestris","Motacillidae","Passeriformes","Aves",NA
"bleda eximia","Bleda eximia","Bleda eximius","Pycnonotidae","Passeriformes","Aves","Bleda eximia"
"bleda syndactylus","Bleda syndactylus","Bleda syndactylus","Pycnonotidae","Passeriformes","Aves","Bleda syndactyla"
"bombycilla cedrorum","Bombycilla cedrorum","Bombycilla cedrorum","Bombycillidae","Passeriformes","Aves",NA
"anguilla australis","Anguilla australis","Anguilla australis","Anguillidae","Anguilliformes","Actinopterygii",NA
"carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Fringillidae","Passeriformes","Aves",NA
"carduelis chloris","Carduelis chloris","Chloris chloris","Fringillidae","Passeriformes","Aves","Carduelis chloris"
"carduelis cucullata","Carduelis cucullata","Spinus cucullatus","Fringillidae","Passeriformes","Aves","Carduelis cucullata"
"carduelis spinus","Carduelis spinus","Spinus spinus","Fringillidae","Passeriformes","Aves","Carduelis spinus"
"carduelis tristis","Carduelis tristis","Spinus tristis","Fringillidae","Passeriformes","Aves","Carduelis tristis"
"carpodacus mexicanus","Carpodacus mexicanus","Haemorhous mexicanus","Fringillidae","Passeriformes","Aves","Carpodacus mexicanus"
"catharus fuscescens","Catharus fuscescens","Catharus fuscescens","Turdidae","Passeriformes","Aves",NA
"catharus guttatus","Catharus guttatus","Catharus guttatus","Turdidae","Passeriformes","Aves",NA
"catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Turdidae","Passeriformes","Aves",NA
"chasiempis sandwichensis","Chasiempis sandwichensis","Chasiempis sandwichensis","Monarchidae","Passeriformes","Aves",NA
"anguilla japonica","Anguilla japonica","Anguilla japonica","Anguillidae","Anguilliformes","Actinopterygii","Muraena pekinensis"
"coccothraustes coccothraustes","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Fringillidae","Passeriformes","Aves",NA
"conopophaga aurita","Conopophaga aurita","Conopophaga aurita","Conopophagidae","Passeriformes","Aves",NA
"contopus sordidulus","Contopus sordidulus","Contopus sordidulus","Tyrannidae","Passeriformes","Aves",NA
"corvus brachyrhynchos","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvidae","Passeriformes","Aves",NA
"corvus corax","Corvus corax","Corvus corax","Corvidae","Passeriformes","Aves",NA
"corvus cornix","Corvus cornix","Corvus cornix","Corvidae","Passeriformes","Aves",NA
"corvus corone","Corvus corone","Corvus corone","Corvidae","Passeriformes","Aves",NA
"corvus frugilegus","Corvus frugilegus","Corvus frugilegus","Corvidae","Passeriformes","Aves",NA
"corvus monedula","Corvus monedula","Coloeus monedula","Corvidae","Passeriformes","Aves","Corvus monedula"
"corvus splendens","Corvus splendens","Corvus splendens","Corvidae","Passeriformes","Aves",NA
"anguilla marmorata","Anguilla marmorata","Anguilla marmorata","Anguillidae","Anguilliformes","Actinopterygii","Muraena manillensis"
"cracticus tibicen","Cracticus tibicen","Cracticus tibicen","Cracticidae","Passeriformes","Aves",NA
"creadion carunculatus","Creadion carunculatus","Creadion carunculatus","Callaeatidae","Passeriformes","Aves",NA
"cyanistes caeruleus","Cyanistes caeruleus","Cyanistes caeruleus","Paridae","Passeriformes","Aves",NA
"cyanocitta cristata","Cyanocitta cristata","Cyanocitta cristata","Corvidae","Passeriformes","Aves",NA
"cyanocompsa brissonii","Cyanocompsa brissonii","Cyanocompsa brissonii","Cardinalidae","Passeriformes","Aves","Passerina brissonii"
"cyanomitra olivacea","Cyanomitra olivacea","Cyanomitra olivacea","Nectariniidae","Passeriformes","Aves","Nectarinia olivacea"
"cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Corvidae","Passeriformes","Aves","Cyanopica cyana"
"dendroica coronata","Dendroica coronata","Setophaga coronata","Parulidae","Passeriformes","Aves","Dendroica coronata"
"dendroica coronata","Dendroica coronata","Setophaga coronata","Parulidae","Passeriformes","Aves","Dendroica coronata coronata"
"dendroica coronata","Dendroica coronata","Setophaga coronata","Parulidae","Passeriformes","Aves","Dendroica coronata hooveri"
"dendroica coronata","Dendroica coronata","Setophaga coronata","Parulidae","Passeriformes","Aves","Setophaga coronata coronata"
"diuca diuca","Diuca diuca","Diuca diuca","Thraupidae","Passeriformes","Aves",NA
"emberiza cioides","Emberiza cioides","Emberiza cioides","Emberizidae","Passeriformes","Aves",NA
"leiognathus equulus","Leiognathus equulus","Leiognathus equulus","Leiognathidae","Chaetodontiformes","Actinopteri",NA
"anguilla mossambica","Anguilla mossambica","Anguilla mossambica","Anguillidae","Anguilliformes","Actinopterygii",NA
"emberiza hortulana","Emberiza hortulana","Emberiza hortulana","Emberizidae","Passeriformes","Aves",NA
"emberiza rustica","Emberiza rustica","Emberiza rustica","Emberizidae","Passeriformes","Aves","Emberiza rustica latifascia"
"emberiza rustica","Emberiza rustica","Emberiza rustica","Emberizidae","Passeriformes","Aves","Emberiza rustica rustica"
"empidonax alnorum","Empidonax alnorum","Empidonax alnorum","Tyrannidae","Passeriformes","Aves",NA
"empidonax difficilis","Empidonax difficilis","Empidonax difficilis","Tyrannidae","Passeriformes","Aves",NA
"erythrura gouldiae","Erythrura gouldiae","Erythrura gouldiae","Estrildidae","Passeriformes","Aves","Chloebia gouldiae"
"estrilda melpoda","Estrilda melpoda","Estrilda melpoda","Estrildidae","Passeriformes","Aves",NA
"ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca","Muscicapidae","Passeriformes","Aves",NA
"fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Fringillidae","Passeriformes","Aves",NA
"garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Corvidae","Passeriformes","Aves",NA
