"idx","PMID","Pathogen_Original","Database","batch","PubDate","PubYear","Lookup"
1,4108788,"aotine betaherpesvirus 1","pubmed",1,"1971 Dec","1971","Success"
2,209216,"cercopithecine betaherpesvirus 5","pubmed",1,"1978 Jun","1978","Success"
3,26251484,"cercopithecine betaherpesvirus 5","pubmed",1,"2015 Aug 6","2015","Success"
4,12623061,"cercopithecine betaherpesvirus 5","pubmed",1,"2003 Mar","2003","Success"
5,12607096,"cercopithecine betaherpesvirus 5","pubmed",1,"2003 Mar","2003","Success"
6,19107226,"human betaherpesvirus 5","pubmed",1,"2009 Jan","2009","Success"
7,21272907,"macacine betaherpesvirus 3","pubmed",1,"2011 Mar 30","2011","Success"
8,12767982,"macacine betaherpesvirus 3","pubmed",1,"2003 Jun","2003","Success"
9,6093744,"panine betaherpesvirus 2","pubmed",1,"1984","1984","Success"
10,11222707,"papiine betaherpesvirus 3","pubmed",1,"2001 Mar","2001","Success"
11,11699958,"papiine betaherpesvirus 3","pubmed",1,"2001","2001","Success"
12,6253743,"saimiriine betaherpesvirus 4","pubmed",1,"1980 Jun","1980","Success"
13,10987671,"callitrichine gammaherpesvirus 3","pubmed",1,"2000 Feb","2000","Success"
14,92573,"gorilline gammaherpesvirus 1","pubmed",1,"1979 Sep","1979","Success"
16,2160013,"human gammaherpesvirus 4","pubmed",1,"1990","1990","Success"
19,4342526,"human gammaherpesvirus 4","pubmed",1,"1972 Aug 11","1972","Success"
19,4342526,"human gammaherpesvirus 4","pubmed",1,"1972 Aug 11","1972","Success"
20,4358039,"human gammaherpesvirus 4","pubmed",1,"1972 Nov","1972","Success"
22,4342526,"human gammaherpesvirus 4","pubmed",1,"1972 Aug 11","1972","Success"
22,4342526,"human gammaherpesvirus 4","pubmed",1,"1972 Aug 11","1972","Success"
23,14107961,"human gammaherpesvirus 4","pubmed",1,"1964 Mar 28","1964","Success"
24,21242039,"human gammaherpesvirus 4","pubmed",1,"2011 May 12","2011","Success"
25,3017870,"macacine gammaherpesvirus 4","pubmed",1,"1986 Sep 15","1986","Success"
