"Citation","PubData"
"Abollo and Pascual 2002","Abollo, E., and S. Pascual. 2002. An SEM study of Phocascaris cystophorae Berland, 1964 (Nematoda : Anisakidae), a parasite of the hooded seal Cystophora cristata. Systematic Parasitology 51:155-158."
"Abrahao et al., 2010","Abrahao, J.S., Silva-Fernandes, A.T., Lima, L.S., Campos, R.K., Guedes, M.I.M.C., Cota, M.M.G., Assis, F.L., Borges, I.A., Souza-Junior, M.F., Lobato, Z.I.P., Bonjardim., C.A., Ferreira, P.C.P., Trindade, G.S., and Kroon, E.G. 2010. Vaccinia Virus Infection in Monkeys, Brazilian Amazon. Emerging Infectious Diseases 16(6): 976-979."
"Acevedo-Whitehouse et al. 2003b","Acevedo-Whitehouse, K., H. de la Cueva, F. M. D. Gulland, D. Aurioles-Gamboa, F. Arellano-Carbajal and F. Suarez-Guemes. 2003. Evidence of leptospira interrogans infection in california sea lion pups from the gulf of california. Journal of Wildlife Diseases 39: 145-151"
"Acevedo-Whitehouse et al. 2006","Acevedo-Whitehouse, K., T. R. Spraker, E. Lyons, S. R. Melin, F. Gulland, R. L. Delong and W. Amos. 2006. Contrasting effects of heterozygosity on survival and hookworm resistance in california sea lion pups. Molecular Ecology 15: 1973-1982"
"Acevedo-Whitehouse et al. 2009","Acevedo-Whitehouse, K., L. Petetti, P. Duignan and A. Castinel. 2009. Hookworm infection, anaemia and genetic variability of the new zealand sea lion. Proceedings of the Royal Society B-Biological Sciences 276: 3523-3529"
"Acevedo et. al 2005","Acevedo, P., Vicente, J., Alzaga, V., Gotazar, C. (2005) Relationship between Bronchopulmonary nematode larvae and relative abundances of Spanish Ibex (Capra pyrenaica hispanica) from Castilla-La Mancha, Spain. Journal of Helminthology 79: 113-118."
"Adams et al. 1998","Adams, N. J., L. E. Prescott, L. M. Jarvis, J. C. M. Lewis, M. O. McClure, D. B. Smith, and P. Simmonds. 1998. Detection in chimpanzees of a novel flavivirus related to GB virus-C hepatitis G virus. Journal of General Virology 79:1871-1877."
"Adamska 2008","Adamska, M. (2008) Wild ruminants in the areaof the North Western Poland as potential reservoir hostsof Bartonella schoenbuchensis and B. bovis. Acta Parasitologica 53: 407-410."
"Adaska 1999","Adaska, J. M. 1999. Peritoneal coccidioidomycosis in a mountain lion in California. Journal of Wildlife Diseases 35:75-77."
"Addison et al 1988","Addison, E. M., J. Hoeve, et al. (1988). ""Fascioloides-Magna Trematoda and Taenia-Hydatigena Cestoda from White-Tailed Deer."" Canadian Journal of Zoology 66(6): 1359-1364."
