"Original","Submitted","Accepted_name","Selected_family","Selected_order","Selected_class","Synonyms"
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma desertorum grandis"
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma albigula laplataensis"
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma albigula mearnsi"
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma intermedia melanura"
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma albigula seri"
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma albigula sheldoni"
"neotoma micropus","Neotoma micropus","Neotoma micropus","Cricetidae","Rodentia","Mammalia","Neotoma micropus canescens"
"neotoma micropus","Neotoma micropus","Neotoma micropus","Cricetidae","Rodentia","Mammalia","Neotoma micropus leucophaea"
"neotoma micropus","Neotoma micropus","Neotoma micropus","Cricetidae","Rodentia","Mammalia","Neotoma micropus littoralis"
"neotoma micropus","Neotoma micropus","Neotoma micropus","Cricetidae","Rodentia","Mammalia","Neotoma micropus planiceps"
"neotoma micropus","Neotoma micropus","Neotoma micropus","Cricetidae","Rodentia","Mammalia","Neotoma macropus surberi"
"oryzomys couesi","Oryzomys couesi","Oryzomys couesi","Cricetidae","Rodentia","Mammalia","Oryzomys albiventer"
"oryzomys couesi","Oryzomys couesi","Oryzomys couesi","Cricetidae","Rodentia","Mammalia","Oryzomys antillarum"
