"X","Type","Phylum","Class","Order","Family","Genus","Species","Human","Zoonotic","Domestic","Wildlife","HostGroup","HostOrder","HostFamily","HostSpecies","HostName","Association","Method","Reference","PMID","Additional","Synonym","Disease","Taylor","Emerging","Emerging.Source","VectorBorne","GramStain","Motility","Spore","Oxygen","Cell","Infection","Abbreviation","Strain","Genome","Gsize","ProteinCount","PercentGC","HostSpeciesPHB","HostSpecies.new","N.genomes","Genome.size","Genome.GC","Genome.genes","Pathogen_Original","Pathogen_Harmonised","YearRef","YearPubMed","Year","YearType","Host_Original","Host_Harmonised","HostSynonyms","HostClass"
5758,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","aotine betaherpesvirus 1","No","No","na","na","Primates","Primates","Aotidae","Aotus trivirgatus","Humboldt's night monkey","na","Isolation","Daniel et al., 1973",4108788,"Ebeling et al., 1983","Herpesvirus aotus 1; Aotine herpesvirus 1","","No","No","","No",NA,NA,NA,NA,NA,NA,"AoHV-1","","dsDNA","0.219474","146","56.3","Aotustrivirgatus","Aotus trivirgatus",1,0.219474,56.3,146,"aotine betaherpesvirus 1","aotine herpesvirus 1",1973,1971,1971,"PubMed publication","aotus trivirgatus","aotus trivirgatus","cheirogaleus commersonii, nyctipithecus duruculi, nyctipithecus felinus","Mammalia"
5759,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","cercopithecine betaherpesvirus 5","Yes","Yes","No","No","Human","Primates","Hominidae","Homo sapiens","Human","Pathogenic","Isolation","Huang et al. 1978",209216,"Baylis et al., 2003","CeHV-5; Simian cytomegalovirus (strain Colburn); African green monkey cytomegalovirus, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"CeHV-5","","dsDNA","0.226144","130","51.9","Homosapiens","Homo sapiens",1,0.226205,50.8,177,"cercopithecine betaherpesvirus 5","cercopithecine herpesvirus 5",1978,1978,1978,"PubMed publication","homo sapiens","homo sapiens","homo aethiopicus, homo americanus, homo arabicus, homo australasicus, homo cafer, homo capensis, homo columbicus, homo drennani, homo grimaldii, homo hottentotus, homo hyperboreus, homo indicus, homo japeticus, homo melaninus, homo monstrosus, homo neptunianus, homo palestinus, homo patagonus, homo priscus, homo scythicus, homo sinicus, homo spelaeus, homo troglodytes, homo wadjakensis, homo sapiens cro-magnonensis, homo sapiens grimaldiensis, homo fossilis proto-aethiopicus, homo fossilis protoaethiopicus, homo sapiens cromagnonensis","Mammalia"
5760,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","cercopithecine betaherpesvirus 5","Yes","Yes","Yes","No","Primates","Primates","Cercopithecidae","Papio ursinus","Chacma baboon","Apathogenic","Isolation","ViPR",26251484,"","CeHV-5; Simian cytomegalovirus (strain Colburn); African green monkey cytomegalovirus, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"CeHV-5","","dsDNA","0.226144","130","51.9","Papioursinus","Papio ursinus",1,0.226205,50.8,177,"cercopithecine betaherpesvirus 5","cercopithecine herpesvirus 5",NA,2015,2015,"PubMed publication","papio ursinus","papio ursinus","na","Mammalia"
5761,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","cercopithecine betaherpesvirus 5","Yes","Yes","Yes","Yes","Primates","Primates","Cercopithecidae","Chlorocebus aethiops","Grivet monkey","na","Isolation","Baylis et al., 2003",12623061,"Pastoret, 2010; Sierra-Honigmann and Krause, 2002; Smith et al., 1968","CeHV-5; Simian cytomegalovirus (strain Colburn); African green monkey cytomegalovirus, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"CeHV-5","","dsDNA","0.226144","130","51.9","Chlorocebusaethiops","Chlorocebus aethiops",1,0.226205,50.8,177,"cercopithecine betaherpesvirus 5","cercopithecine herpesvirus 5",1968,2003,1968,"Publication date from source database (earliest)","chlorocebus aethiops","chlorocebus aethiops","cercopithecus calliaudi, cercopithecus cano-viridis, cercopithecus cinereo-viridis, simia engytithia, cercopithecus griseo-viridis, cercopithecus griseus, cercopithecus matschiei, simia subviridis, cercopithecus toldti, lasiopyga weidholzi, cercopithecus canoviridis, cercopithecus cinereoviridis, cercopithecus griseoviridis, cercopithecus aethiops zavattarii","Mammalia"
5762,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","cercopithecine betaherpesvirus 5","Yes","Yes","Yes","Yes","Primates","Primates","Cercopithecidae","Mandrillus leucophaeus","Drill","Apathogenic","Isolation","ViPR",12607096,"","CeHV-5; Simian cytomegalovirus (strain Colburn); African green monkey cytomegalovirus, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"CeHV-5","","dsDNA","0.226144","130","51.9","Mandrillusleucophaeus","Mandrillus leucophaeus",1,0.226205,50.8,177,"cercopithecine betaherpesvirus 5","cercopithecine herpesvirus 5",NA,2003,2003,"PubMed publication","mandrillus leucophaeus","mandrillus leucophaeus","na","Mammalia"
5763,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","human betaherpesvirus 5","Yes","No","No","No","Human","Primates","Hominidae","Homo sapiens","Human","Pathogenic","Isolation","Numazaki et al. 1970",19107226,"Gandhi and Khanna, 2004","HHV-5; Human cytomegalovirus; Human herpesvirus 5 ","","Yes","Yes","Taylor; Jones","No",NA,NA,NA,NA,NA,NA,"HHV-5","","dsDNA","0.235646","169","57.5","Homosapiens","Homo sapiens",2,0.234127,57.3,263.5,"human betaherpesvirus 5","human herpesvirus 5",1970,2009,1970,"Publication date from source database (earliest)","homo sapiens","homo sapiens","homo aethiopicus, homo americanus, homo arabicus, homo australasicus, homo cafer, homo capensis, homo columbicus, homo drennani, homo grimaldii, homo hottentotus, homo hyperboreus, homo indicus, homo japeticus, homo melaninus, homo monstrosus, homo neptunianus, homo palestinus, homo patagonus, homo priscus, homo scythicus, homo sinicus, homo spelaeus, homo troglodytes, homo wadjakensis, homo sapiens cro-magnonensis, homo sapiens grimaldiensis, homo fossilis proto-aethiopicus, homo fossilis protoaethiopicus, homo sapiens cromagnonensis","Mammalia"
5764,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","macacine betaherpesvirus 3","No","No","Captive","No","Primates","Primates","Cercopithecidae","Macaca fascicularis","Crab-eating macaque","Apathogenic","Isolation","Ambagala et al. 2011",21272907,"http://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=HQ198248&decorator=herpes&context=1463053959560","CeHV-8; Rhesus monkey cytomegalovirus; Macacine herpesvirus 3, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"McHV-3","","dsDNA","0.221454","223","49.1","Macacafascicularis","Macaca fascicularis",0,NA,NA,NA,"macacine betaherpesvirus 3","macacine herpesvirus 3",2011,2011,2011,"PubMed publication","macaca fascicularis","macaca fascicularis","na","Mammalia"
5765,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","macacine betaherpesvirus 3","No","No","Yes","Yes","Primates","Primates","Cercopithecidae","Macaca mulatta","Rhesus macaque","Apathogenic","Isolation","Covell 1932",12767982,"8007656; 4131945","CeHV-8; Rhesus monkey cytomegalovirus; Macacine herpesvirus 3, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"McHV-3","","dsDNA","0.221454","223","49.1","Macacamulatta","Macaca mulatta",0,NA,NA,NA,"macacine betaherpesvirus 3","macacine herpesvirus 3",1932,2003,1932,"Publication date from source database (earliest)","macaca mulatta","macaca mulatta","simia erythraea, simia fulvus, macacus lasiotus, pithecus littoralis, macaca nipalensis, macaca oinops, simia rhesus, inuus sancti-johannis, macaca siamica, macacus tcheliensis, macacus vestitus, inuus sanctijohannis, macacus rhesus villosus, macaca mulatta mcmahoni","Mammalia"
5766,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","panine betaherpesvirus 2","No","No","Yes","na","Primates","Primates","Hominidae","Pan troglodytes","Chimpanzee","Apathogenic","Isolation","Swinkels et al. 1984",6093744,"","PoHV-4; Chimpanzee cytomegalovirus; Pongine herpesvirus 4, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"PnHV-2","","dsDNA","0.241087","169","61.7","Pantroglodytes","Pan troglodytes",1,0.241087,61.7,169,"panine betaherpesvirus 2","pongine herpesvirus 4",1984,1984,1984,"PubMed publication","pan troglodytes","pan troglodytes","na","Mammalia"
5767,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","papiine betaherpesvirus 3","Yes","Yes","No","No","Human","Primates","Hominidae","Homo sapiens","Human","Apathogenic","PCR","Michaels et al. 2001",11222707,"","","","No","No","","No",NA,NA,NA,NA,NA,NA,"PaHV-3","","dsDNA","na","na","na","Homosapiens","Homo sapiens",0,NA,NA,NA,"papiine betaherpesvirus 3","papiine herpesvirus 1",2001,2001,2001,"PubMed publication","homo sapiens","homo sapiens","homo aethiopicus, homo americanus, homo arabicus, homo australasicus, homo cafer, homo capensis, homo columbicus, homo drennani, homo grimaldii, homo hottentotus, homo hyperboreus, homo indicus, homo japeticus, homo melaninus, homo monstrosus, homo neptunianus, homo palestinus, homo patagonus, homo priscus, homo scythicus, homo sinicus, homo spelaeus, homo troglodytes, homo wadjakensis, homo sapiens cro-magnonensis, homo sapiens grimaldiensis, homo fossilis proto-aethiopicus, homo fossilis protoaethiopicus, homo sapiens cromagnonensis","Mammalia"
5768,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","papiine betaherpesvirus 3","Yes","Yes","Yes","Yes","Primates","Primates","Cercopithecidae","Papio ursinus","Chacma baboon","Apathogenic","Isolation","Blewett et al. 2001",11699958,"","","","No","No","","No",NA,NA,NA,NA,NA,NA,"PaHV-3","","dsDNA","na","na","na","Papioursinus","Papio ursinus",0,NA,NA,NA,"papiine betaherpesvirus 3","papiine herpesvirus 1",2001,2001,2001,"PubMed publication","papio ursinus","papio ursinus","na","Mammalia"
