name,exact,type,order,class,family,genus,species,checked_prev,rg_updated,species_updated,class_updated,order_updated,family_updated,genus_updated,unresolved_notes
feline foamy,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Felispumavirus,Feline foamy virus,TRUE,,,,,,,
feline immunodeficiency,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Feline immunodeficiency virus,TRUE,,,,,,,
feline leukemia,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Feline leukemia virus,TRUE,,,,,,,
feline panleukopenia,FALSE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,TRUE,,,,,,,
feline sarcoma,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Feline leukemia virus,TRUE,,,,,,,
finkel-biskis-jinkins murine sarcoma,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Finkel-Biskis-Jinkins murine sarcoma virus,TRUE,,,,,,,
flexal,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Flexal mammarenavirus,TRUE,,,,,,,
foot-and-mouth disease,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,TRUE,,,,,,,
fort morgan,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Fort Morgan virus,TRUE,,,,,,,
gadgets gully,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Gadgets Gully virus,TRUE,,,,,,,
gan gan,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Gan Gan virus,TRUE,,,,,,,
gb virus a,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepatitis GB virus B,TRUE,TRUE,Pegivirus A,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,
gb virus b,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepatitis GB virus B,TRUE,,,,,,,
gb virus c,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepatitis GB virus B,TRUE,TRUE,Pegivirus C,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,
gb virus d,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepatitis GB virus B,TRUE,TRUE,Pegivirus B,Flasuviricetes,Amarillovirales,Flaviviridae,Pegivirus,
getah,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Getah virus,TRUE,,,,,,,
gibbon ape leukemia,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Gibbon ape leukemia virus,TRUE,,,,,,,
goat adenovirus,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Atadenovirus,Ovine atadenovirus D,TRUE,TRUE,Ovine atadenovirus D,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus,
goatpox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Capripoxvirus,Goatpox virus,TRUE,,,,,,,
great island,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Great Island virus,TRUE,,,,,,,
ground squirrel hepatitis,FALSE,viruses,Blubervirales,Revtraviricetes,Hepadnaviridae,Orthohepadnavirus,Ground squirrel hepatitis virus,TRUE,,,,,,,
guajara,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Guajara orthobunyavirus,TRUE,,,,,,,
guama,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Guama orthobunyavirus,TRUE,,,,,,,
guanarito,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Guanarito mammarenavirus,TRUE,,,,,,,
guaroa,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Guaroa orthobunyavirus,TRUE,,,,,,,
guinea pig type-c oncovirus,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Guinea pig adenovirus,TRUE,TRUE,Guinea pig type-c oncovirus,Revtraviricetes,Ortervirales,Retroviridae,,unresolved; no clear match in NCBITaxonomy
hantaan,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Hantaan orthohantavirus,TRUE,,,,,,,
hare fibroma,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Leporipoxvirus,Rabbit fibroma virus,TRUE,,,,,,,
harvey murine sarcoma,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Harvey murine sarcoma virus,TRUE,,,,,,,
hendra,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Henipavirus,Hendra henipavirus,TRUE,,,,,,,
hepatitis a,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepacivirus C,TRUE,TRUE,Hepatovirus A,Pisoniviricetes,Picornavirales,Picornaviridae,Hepatovirus,
hepatitis b,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepacivirus C,TRUE,TRUE,Hepatitis B virus,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,
hepatitis c,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepacivirus C,TRUE,,,,,,,
hepatitis delta,FALSE,viruses,,,,Deltavirus,Hepatitis delta virus,TRUE,,,,,,,
hepatitis e,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepacivirus C,TRUE,TRUE,Orthohepevirus A,Alsuviricetes,Hepelivirales,Hepeviridae,Orthohepevirus,
hepatovirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Hepatovirus,Hepatovirus A,TRUE,,,,,,,
highlands j,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Highlands J virus,TRUE,,,,,,,
hughes,FALSE,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Hughes orthonairovirus,TRUE,,,,,,,
human adenovirus a,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Human mastadenovirus E,TRUE,TRUE,Human mastadenovirus A,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
human adenovirus b,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Human mastadenovirus G,TRUE,TRUE,Human mastadenovirus B,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
human adenovirus c,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Human mastadenovirus G,TRUE,TRUE,Human mastadenovirus C,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
human adenovirus d,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Human mastadenovirus B,TRUE,TRUE,Human mastadenovirus D,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
human adenovirus e,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Human mastadenovirus G,TRUE,TRUE,Human mastadenovirus E,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
human adenovirus f,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Human mastadenovirus G,TRUE,TRUE,Human mastadenovirus F,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
human coronavirus 229e,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Human coronavirus 229E,TRUE,,,,,,,
human coronavirus hku1,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Human coronavirus HKU1,TRUE,,,,,,,
human coronavirus nl63,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Human coronavirus NL63,TRUE,,,,,,,
human coronavirus oc43,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Betacoronavirus 1,TRUE,,,,,,,
human mastadenovirus g,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Human mastadenovirus C,TRUE,TRUE,Human mastadenovirus G,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
human norovirus-alphatron,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Norovirus,Norwalk virus,TRUE,,,,,,,
human papillomavirus 71,FALSE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 11,TRUE,TRUE,Alphapapillomavirus 14 ,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Alphapapillomavirus,
human papillomavirus cand90,FALSE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 14,TRUE,,,,,,,
human papillomavirus cand92,FALSE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 4,TRUE,,,,,,,
human papillomavirus cand96,FALSE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 5,TRUE,,,,,,,
human parvovirus b19,FALSE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 1,TRUE,,,,,,,
human respiratory syncytial,FALSE,viruses,Mononegavirales,Monjiviricetes,Pneumoviridae,Orthopneumovirus,Human orthopneumovirus,TRUE,,,,,,,
human rhinovirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Rhinovirus A,TRUE,,,,,,,
human rhinovirus b,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Rhinovirus A,TRUE,TRUE,Rhinovirus B,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,
human rhinovirus c,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Rhinovirus A,TRUE,TRUE,Rhinovirus C,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,
hunnivirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Hunnivirus,Hunnivirus A,TRUE,,,,,,,
ife,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,African elephant endotheliolytic herpesvirus,TRUE,TRUE,Ife virus,Resentoviricetes,Reovirales,Reoviridae,Orbivirus,
ilheus,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Ilheus virus,TRUE,,,,,,,
influenza a,FALSE,viruses,Articulavirales,Insthoviricetes,Orthomyxoviridae,,unidentified influenza virus,TRUE,TRUE,Influenza A virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,
influenza b,FALSE,viruses,Articulavirales,Insthoviricetes,Orthomyxoviridae,,unidentified influenza virus,TRUE,TRUE,Influenza B virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Betainfluenzavirus,
influenza c,FALSE,viruses,Articulavirales,Insthoviricetes,Orthomyxoviridae,,unidentified influenza virus,TRUE,TRUE,Influenza C virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Gammainfluenzavirus,
ippy,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Ippy mammarenavirus,TRUE,,,,,,,
irkut,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,Irkut lyssavirus,TRUE,,,,,,,
isfahan,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Isfahan vesiculovirus,TRUE,,,,,,,
isla vista,FALSE,viruses,Picornavirales,Pisoniviricetes,Iflaviridae,,Isla virus,TRUE,TRUE,Isla Vista hantavirus,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,
issyk-kul,FALSE,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Issyk-Kul virus,TRUE,,,,,,,
itaporanga,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Itaporanga phlebovirus,TRUE,,,,,,,
japanaut,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Japanaut virus,TRUE,,,,,,,
japanese encephalitis,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Japanese encephalitis virus,TRUE,,,,,,,
jc polyomavirus,FALSE,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,Betapolyomavirus,Human polyomavirus 2,TRUE,,,,,,,
jugra,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Jugra virus,TRUE,,,,,,,
junin,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Argentinian mammarenavirus,TRUE,,,,,,,
juquitiba,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Juquitiba virus,TRUE,,,,,,,
jurona,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Jurona vesiculovirus,TRUE,,,,,,,
jutiapa,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Jutiapa virus,TRUE,,,,,,,
kadam,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Kadam virus,TRUE,,,,,,,
kaeng khoi,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Kaeng Khoi orthobunyavirus,TRUE,,,,,,,
kairi,FALSE,viruses,Martellivirales,Alsuviricetes,Kitaviridae,,,TRUE,TRUE,Kairi orthobunyavirus,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,
kasokero,FALSE,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Kasokero orthonairovirus,TRUE,,,,,,,
kedougou,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Kedougou virus,TRUE,,,,,,,
kern canyon,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ledantevirus,Kern Canyon ledantevirus,TRUE,,,,,,,
keuraliba,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ledantevirus,Keuraliba ledantevirus,TRUE,,,,,,,
khabarovsk,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Khabarovsk orthohantavirus,TRUE,,,,,,,
khujand,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,Khujand lyssavirus,TRUE,,,,,,,
kilham rat,FALSE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Rodent protoparvovirus 1,TRUE,,,,,,,
kirsten murine sarcoma,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Kirsten murine sarcoma virus,TRUE,,,,,,,
klamath,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Tupavirus,Klamath tupavirus,TRUE,,,,,,,
kokobera,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Kokobera virus,TRUE,,,,,,,
koongol,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Koongol orthobunyavirus,TRUE,,,,,,,
kotonkan,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ephemerovirus,Kotonkan ephemerovirus,TRUE,,,,,,,
koutango,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Koutango virus,TRUE,,,,,,,
kyasanur forest disease,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Kyasanur Forest disease virus,TRUE,,,,,,,
lactate dehydrogenase-elevating,FALSE,viruses,Nidovirales,Pisoniviricetes,Arteriviridae,Gammaarterivirus,Gammaarterivirus lacdeh,TRUE,,,,,,,
lagos bat,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,Lagos bat lyssavirus,TRUE,,,,,,,
laguna negra,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Laguna Negra orthohantavirus,TRUE,,,,,,,
langat,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Langat virus,TRUE,,,,,,,
langur,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Betaretrovirus,Langur virus,TRUE,,,,,,,
lapine parvovirus,FALSE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,TRUE,TRUE,unclassified Protoparvovirus,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,
lassa,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Lassa mammarenavirus,TRUE,,,,,,,
latino,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Latino mammarenavirus,TRUE,,,,,,,
lebombo,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Lebombo virus,TRUE,,,,,,,
lechiguanas,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Andes orthohantavirus,TRUE,,,,,,,
liao ning,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Seadornavirus,Liao ning virus,TRUE,,,,,,,
ljungan,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Parechovirus,Parechovirus B,TRUE,,,,,,,
lloviu,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Salovirus,,TRUE,TRUE,Lloviu cuevavirus,Monjiviricetes,Mononegavirales,Filoviridae,Cuevavirus,
louping ill,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Louping ill virus,TRUE,,,,,,,
lujo,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Lujo mammarenavirus,TRUE,,,,,,,
lumpy skin disease,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Capripoxvirus,Lumpy skin disease virus,TRUE,,,,,,,
luna,FALSE,viruses,Patatavirales,Stelpaviricetes,Potyviridae,,Longan witches broom-associated virus,TRUE,TRUE,Luna mammarenavirus,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,
lymphocytic choriomeningitis,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Lymphocytic choriomeningitis mammarenavirus,TRUE,,,,,,,
m'poko,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,MPoko orthobunyavirus,TRUE,,,,,,,
macaque simian foamy,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Spumavirus,Macaque simian foamy virus,TRUE,,,,,,,
machupo,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Machupo mammarenavirus,TRUE,,,,,,,
madariaga,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Madariaga virus,TRUE,,,,,,,
madrid,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Madrid orthobunyavirus,TRUE,,,,,,,
main drain virus,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Main Drain orthobunyavirus,TRUE,,,,,,,
manzanilla,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Manzanilla orthobunyavirus,TRUE,,,,,,,
mapuera,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Orthorubulavirus,Mapuera orthorubulavirus,TRUE,,,,,,,
maraba,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Maraba vesiculovirus,TRUE,,,,,,,
marburg,FALSE,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Marburgvirus,,TRUE,TRUE,Marburg marburgvirus,Monjiviricetes,Mononegavirales,Filoviridae,Marburgvirus,
marituba,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Marituba orthobunyavirus,TRUE,,,,,,,
marmodid herpesvirus 1,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Macropodid alphaherpesvirus 1,TRUE,TRUE,Marmodid herpesvirus 1,Herviviricetes,Herpesvirales,Herpesviridae,,unresolved; no clear match in NCBITaxonomy
mason-pfizer monkey,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Betaretrovirus,Mason-Pfizer monkey virus,TRUE,,,,,,,
mayaro,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Mayaro virus,TRUE,,,,,,,
measles,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Morbillivirus,Measles morbillivirus,TRUE,,,,,,,
menangle,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Pararubulavirus,Menangle pararubulavirus,TRUE,,,,,,,
merino walk,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Merino Walk mammarenavirus,TRUE,,,,,,,
middelburg,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Middelburg virus,TRUE,,,,,,,
minatitlan,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Minatitlan orthobunyavirus,TRUE,,,,,,,
miniopterus bat coronavirus hku8,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Miniopterus bat coronavirus HKU8,TRUE,,,,,,,
mischivirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Mischivirus,Mischivirus A,TRUE,,,,,,,
mobala,FALSE,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Zaire ebolavirus,TRUE,TRUE,Mobala mammarenavirus,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,
modoc,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Modoc virus,TRUE,,,,,,,
mokola,FALSE,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Zaire ebolavirus,TRUE,TRUE,Mokola lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,
molluscum contagiosum,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Molluscipoxvirus,Molluscum contagiosum virus,TRUE,,,,,,,
moloney murine sarcoma,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Moloney murine sarcoma virus,TRUE,,,,,,,
monkeypox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Monkeypox virus,TRUE,,,,,,,
montana myotis leukoencephalitis,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Montana myotis leukoencephalitis virus,TRUE,,,,,,,
mopeia,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Mopeia mammarenavirus,TRUE,,,,,,,
mosavirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Mosavirus,Mosavirus A,TRUE,,,,,,,
mosso das pedras virus 78v3531,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Mosso das Pedras virus,TRUE,,,,,,,
mount elgon bat,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ledantevirus,Mount Elgon bat ledantevirus,TRUE,,,,,,,
mouse mammary tumor,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Betaretrovirus,Mouse mammary tumor virus,TRUE,,,,,,,
mucambo,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Mucambo virus,TRUE,,,,,,,
muleshoe,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Muleshoe hantavirus,TRUE,,,,,,,
mumps,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Orthorubulavirus,Mumps orthorubulavirus,TRUE,,,,,,,
murid herpesvirus 5,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Muromegalovirus,Murid betaherpesvirus 1,TRUE,TRUE,Murid herpesvirus 5,Herviviricetes,Herpesvirales,Herpesviridae,,unresolved; no clear match in NCBITaxonomy
murid herpesvirus 7,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Muromegalovirus,Murid betaherpesvirus 1,TRUE,TRUE,Murid gammaherpesvirus 7,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,
murine adenovirus a,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Murine mastadenovirus A,TRUE,,,,,,,
murine adenovirus b,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Murine mastadenovirus A,TRUE,TRUE,Murine mastadenovirus B,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
murine adenovirus c,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Murine mastadenovirus A,TRUE,TRUE,Murine mastadenovirus C,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
murine hepatitis,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Murine coronavirus,TRUE,,,,,,,
murine leukemia,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Murine leukemia virus,TRUE,,,,,,,
murine pneumonia,FALSE,viruses,Mononegavirales,Monjiviricetes,Pneumoviridae,Orthopneumovirus,Murine orthopneumovirus,TRUE,,,,,,,
murine pneumotropic,FALSE,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,Betapolyomavirus,Mus musculus polyomavirus 2,TRUE,,,,,,,
murray valley encephalitis,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Murray Valley encephalitis virus,TRUE,,,,,,,
myxoma,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Leporipoxvirus,Myxoma virus,TRUE,,,,,,,
nariva,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Narmovirus,Nariva narmovirus,TRUE,,,,,,,
ndumu,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Ndumu virus,TRUE,,,,,,,
nelson bay orthoreovirus,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orthoreovirus,Nelson Bay orthoreovirus,TRUE,,,,,,,
new jersey vesiculovirus,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,New Jersey vesiculovirus,TRUE,,,,,,,
new york-1,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,New York hantavirus,TRUE,,,,,,,
newbury-1,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Nebovirus,Newbury 1 virus,TRUE,,,,,,,
newcastle disease,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Orthoavulavirus,Avian orthoavulavirus 1,TRUE,,,,,,,
ngaingan,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Hapavirus,Ngaingan hapavirus,TRUE,,,,,,,
nipah,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Henipavirus,Nipah henipavirus,TRUE,,,,,,,
