"","ColName","Description"
"1","Host","Host species (first taxized and then resolved against NCBI Taxonomy, with outstanding issues cross-referenced to IUCN)"
"2","HostClass","Host taxonomic class"
"3","HostOrder","Host taxonomic order"
"4","HostFamily","Host taxonomic family"
"5","Virus","Virus species (manually harmonised across datasets, then resolved against NCBI Taxonomy)"
"6","VirusClass","Virus taxonomic class"
"7","VirusOrder","Virus taxonomic order"
"8","VirusFamily","Virus taxonomic family"
"9","VirusGenus","Virus taxonomic genus"
"10","Year","Year association was reported (if multiple year were included in source database record, the earliest is reported)"
"11","YearType","How was year obtained? Either scientific publication, listed in source database, or scraped from PubMed PMID or NCBI Nucleotide. If year is NA, it was not possible to resolve from source database"
"12","Database","Source database"
"13","DatabaseVersion","Version of source database that was accessed for CLOVER"
"14","Reference","Citation as provided in original dataset"
"15","ReferenceType","Description of citation type (publication name; PubMed ID; NCBI Nucleotide ID)"
"16","DetectionMethod","Detection method (reconciled and harmonised to a simple classification system)"
"17","Detection_NotSpecified","True/false flag"
"18","Detection_Serology","True/false flag"
"19","Detection_Genetic","True/false flag"
"20","Detection_Isolation","True/false flag"
"21","Host_Original","Host species as listed in source database"
"22","Virus_Original","Virus species as listed in source database"
"23","DetectionMethod_Original","Detection method as described in source database"
"24","Host_NCBIResolved","Does host species name have an exact match in NCBITaxonomy? True/false"
"25","Virus_NCBIResolved","Does virus species name have an exact match in NCBITaxonomy? True/false"
"26","HostSynonyms","Synonyms of host species, accessed from taxize"
