"Host","HostClass","HostOrder","HostFamily","Virus","VirusOrder","Year","YearType","Database","DatabaseVersion","DetectionMethod","Detection_NotSpecified","Detection_Serology","Detection_Genetic","Detection_Isolation","Host_Original","Virus_Original","DetectionMethod_Original"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","African horse sickness virus","Reovirales",1995,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","African horse sickness","bcELISA"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","African horse sickness virus","Reovirales",1995,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","African horse sickness","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Alphacoronavirus 1",NA,2003,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Alphacoronavirus 1","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Alphacoronavirus 1",NA,2003,"Author","GMPD2","Stephens et al. 2017 Ecology","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Alphacoronavirus 1","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Alphacoronavirus 1",NA,2004,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Alphacoronavirus 1","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Alphacoronavirus 1",NA,2010,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Alphacoronavirus 1","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Alphacoronavirus 1",NA,1990,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Acinonyx jubatus","Alphacoronavirus 1","Isolation"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Bluetongue virus","Reovirales",1994,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Bluetongue","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Bluetongue virus","Reovirales",2001,"Author","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Bluetongue","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Canine morbillivirus","Mononegavirales",2004,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Canine distemper","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Canine morbillivirus","Mononegavirales",2010,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Canine distemper","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Cardiovirus a",NA,1989,NA,"Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Cardiovirus a","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1",NA,2004,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Carnivore protoparvovirus 1","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1",NA,2010,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Carnivore protoparvovirus 1","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1",NA,1993,"Author","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Acinonyx jubatus","Carnivore protoparvovirus 1","Isolation"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Cowpox virus","Chitovirales",2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Cowpox","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Cowpox virus","Chitovirales",1982,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Acinonyx jubatus","Cowpox","Isolation"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Felid alphaherpesvirus 1","Herpesvirales",2004,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Felid alphaherpesvirus 1","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Felid alphaherpesvirus 1","Herpesvirales",2010,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Felid alphaherpesvirus 1","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Felid alphaherpesvirus 1","Herpesvirales",2004,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Felid alphaherpesvirus 1","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Mamastrovirus 2","Stellavirales",2009,"Author","HP3","Olival et al. 2017 Nature","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Feline astrovirus","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Mamastrovirus 2","Stellavirales",2009,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Mamastrovirus 2","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline calicivirus",NA,2000,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Feline calicivirus","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline calicivirus",NA,1997,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Feline calicivirus","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline calicivirus",NA,2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Feline calicivirus","PCR"
