VirusOriginal,VirusTaxID,VirusNCBIResolved,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,PathogenType
actinomyces odontolyticus,,FALSE,actinomyces odontolyticus,,,,,bacteria
anaplasma caudatum,,FALSE,anaplasma caudatum,,,,,bacteria
azospirillum spp,,FALSE,azospirillum spp,,,,,bacteria
chitinophaga terrae,,FALSE,chitinophaga terrae,,,,,bacteria
chlamydophila sp.,,FALSE,chlamydophila sp.,,,,,bacteria
clostridium clostridioforme,,FALSE,clostridium clostridioforme,,,,,bacteria
helcoccus sp.,,FALSE,helcoccus sp.,,,,,bacteria
lactobacillus spp,,FALSE,lactobacillus spp,,,,,bacteria
lactobacillus zeae,,FALSE,lactobacillus zeae,,,,,bacteria
leptospira bratislava,,FALSE,leptospira bratislava,,,,,bacteria
leptospira icterohaemorrhagiae,,FALSE,leptospira icterohaemorrhagiae,,,,,bacteria
megasphaera spp,,FALSE,megasphaera spp,,,,,bacteria
moraxella phenylpyruvicus,,FALSE,moraxella phenylpyruvicus,,,,,bacteria
propionibacterium granulosum,,FALSE,propionibacterium granulosum,,,,,bacteria
propionibacterium propionicum,,FALSE,propionibacterium propionicum,,,,,bacteria
spirillum minus,,FALSE,spirillum minus,,,,,bacteria
staphylococcus albus,,FALSE,staphylococcus albus,,,,,bacteria
treponema carateum,,FALSE,treponema carateum,,,,,bacteria
bacillus megaterium,,FALSE,bacillus megaterium,,,,,bacteria/rickettsia
lactobacillus sakei,,FALSE,lactobacillus sakei,,,,,bacteria/rickettsia
staphylococcus vitulinus,,FALSE,staphylococcus vitulinus,,,,,bacteria/rickettsia
arthroderma gypseum,,FALSE,arthroderma gypseum,,,,,fungi
aspergillus flavus group,,FALSE,aspergillus flavus group,,,,,fungi
candida haemulonis,,FALSE,candida haemulonis,,,,,fungi
corynascus kuwaitiensis,,FALSE,corynascus kuwaitiensis,,,,,fungi
pneumocystis gerbil,,FALSE,pneumocystis gerbil,,,,,fungi
abbreviata sp.,,FALSE,abbreviata sp.,,,,,helminth
acanthocheilonema procyonis,,FALSE,acanthocheilonema procyonis,,,,,helminth
acipensericola campbelli,,FALSE,acipensericola campbelli,,,,,helminth
aelurostrongylus pridhami,,FALSE,aelurostrongylus pridhami,,,,,helminth
aelurostrongylus sp.,,FALSE,aelurostrongylus sp.,,,,,helminth
africanostrongylus buceros,,FALSE,africanostrongylus buceros,,,,,helminth
agriostomum cursoni,,FALSE,agriostomum cursoni,,,,,helminth
agriostomum equidentatum,,FALSE,agriostomum equidentatum,,,,,helminth
agriostomum gorgonis,,FALSE,agriostomum gorgonis,,,,,helminth
agriostomum sp.,,FALSE,agriostomum sp.,,,,,helminth
alaria arisaemoides,,FALSE,alaria arisaemoides,,,,,helminth
alaria canis,,FALSE,alaria canis,,,,,helminth
alaria sp.,,FALSE,alaria sp.,,,,,helminth
allodapa sp.,,FALSE,allodapa sp.,,,,,helminth
amoebotaenia paradoxa,,FALSE,amoebotaenia paradoxa,,,,,helminth
anatrichosoma cynamolgi,,FALSE,anatrichosoma cynamolgi,,,,,helminth
anatrichosoma ixyos,,FALSE,anatrichosoma ixyos,,,,,helminth
anatrichosoma sp.,,FALSE,anatrichosoma sp.,,,,,helminth
ancylostoma kusimaense,,FALSE,ancylostoma kusimaense,,,,,helminth
ancylostoma martinezi,,FALSE,ancylostoma martinezi,,,,,helminth
ancylostoma paraduodenale,,FALSE,ancylostoma paraduodenale,,,,,helminth
ancylostoma pluridentatum,,FALSE,ancylostoma pluridentatum,,,,,helminth
ancylostoma quadridentata,,FALSE,ancylostoma quadridentata,,,,,helminth
ancylostoma sp.,,FALSE,ancylostoma sp.,,,,,helminth
angiocaulus gubernaculatus,,FALSE,angiocaulus gubernaculatus,,,,,helminth
angiostrongylus sp.,,FALSE,angiostrongylus sp.,,,,,helminth
anophryocephalus arcticensis,,FALSE,anophryocephalus arcticensis,,,,,helminth
anophryocephalus inuitorum,,FALSE,anophryocephalus inuitorum,,,,,helminth
anophryocephalus ochotensis,,FALSE,anophryocephalus ochotensis,,,,,helminth
anophryocephalus sp.,,FALSE,anophryocephalus sp.,,,,,helminth
anoplocephala gigantea,,FALSE,anoplocephala gigantea,,,,,helminth
anoplocephala gorillae,,FALSE,anoplocephala gorillae,,,,,helminth
anoplocephala sp.,,FALSE,anoplocephala sp.,,,,,helminth
aototrema dorsogenitalis,,FALSE,aototrema dorsogenitalis,,,,,helminth
apophallus venustus,,FALSE,apophallus venustus,,,,,helminth
apteragia odocoilei,,FALSE,apteragia odocoilei,,,,,helminth
apteragia pursglovei,,FALSE,apteragia pursglovei,,,,,helminth
apteragia quadrispiculata,,FALSE,apteragia quadrispiculata,,,,,helminth
arthrostoma miyazakiense,,FALSE,arthrostoma miyazakiense,,,,,helminth
ascaridia schroederii,,FALSE,ascaridia schroederii,,,,,helminth
ascaridia sp.,,FALSE,ascaridia sp.,,,,,helminth
ascaris elongata,,FALSE,ascaris elongata,,,,,helminth
ascaris petiti,,FALSE,ascaris petiti,,,,,helminth
ascaris phacochoeri,,FALSE,ascaris phacochoeri,,,,,helminth
ascarops dentata,,FALSE,ascarops dentata,,,,,helminth
ascarops strongylina,,FALSE,ascarops strongylina,,,,,helminth
ascocotyle ampullacea,,FALSE,ascocotyle ampullacea,,,,,helminth
ascocotyle leighi,,FALSE,ascocotyle leighi,,,,,helminth
ascorhytis charadriformis,,FALSE,ascorhytis charadriformis,,,,,helminth
ashworthius gagarini,,FALSE,ashworthius gagarini,,,,,helminth
ashworthius sp.,,FALSE,ashworthius sp.,,,,,helminth
athesmia foxi,,FALSE,athesmia foxi,,,,,helminth
athesmia heterolecithodes,,FALSE,athesmia heterolecithodes,,,,,helminth
atriotaenia incisa,,FALSE,atriotaenia incisa,,,,,helminth
atriotaenia procyonis,,FALSE,atriotaenia procyonis,,,,,helminth
atriotaenia sp.,,FALSE,atriotaenia sp.,,,,,helminth
avitellina sp.,,FALSE,avitellina sp.,,,,,helminth
baschkirovitrema incrassatum,,FALSE,baschkirovitrema incrassatum,,,,,helminth
bashkirovitrema sp.,,FALSE,bashkirovitrema sp.,,,,,helminth
baylisascaris sp.,,FALSE,baylisascaris sp.,,,,,helminth
baylisiella tecta,,FALSE,baylisiella tecta,,,,,helminth
bertiella sp.,,FALSE,bertiella sp.,,,,,helminth
bolbosoma bobrovoi,,FALSE,bolbosoma bobrovoi,,,,,helminth
bolbosoma sp.,,FALSE,bolbosoma sp.,,,,,helminth
bourgelatia hylochoeri,,FALSE,bourgelatia hylochoeri,,,,,helminth
brachylaemus sp.,,FALSE,brachylaemus sp.,,,,,helminth
brachylaima fuscatus,,FALSE,brachylaima fuscatus,,,,,helminth
brachylaima pellucidum,,FALSE,brachylaima pellucidum,,,,,helminth
brachylaima recurva,,FALSE,brachylaima recurva,,,,,helminth
brachylaima tokudai,,FALSE,brachylaima tokudai,,,,,helminth
brodenia laciniata,,FALSE,brodenia laciniata,,,,,helminth
brodenia serrata,,FALSE,brodenia serrata,,,,,helminth
