VirusOriginal,VirusTaxID,VirusNCBIResolved,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass
batrachochytrium dendrobatidis,109871,TRUE,Batrachochytrium dendrobatidis,Batrachochytrium,NA,Rhizophydiales,Chytridiomycetes
frog virus 3,10493,TRUE,Frog virus 3,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes
rahnella aquatilis,34038,TRUE,Rahnella aquatilis,Rahnella,Yersiniaceae,Enterobacterales,Gammaproteobacteria
rhodococcus fascians,1828,TRUE,Rhodococcus fascians,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinomycetia
serratia plymuthica,82996,TRUE,Serratia plymuthica,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
ambystoma tigrinum virus,265294,TRUE,Ambystoma tigrinum virus,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes
polystoma claudecombesi,581046,TRUE,Polystoma claudecombesi,Polystoma,Polystomatidae,Polystomatidea,Monogenea
proteus penneri,102862,TRUE,Proteus penneri,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria
pseudomonas fluorescens,294,TRUE,Pseudomonas fluorescens,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
aeromonas veronii,654,TRUE,Aeromonas veronii,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
protoopalina intestinalis,286699,TRUE,Protoopalina intestinalis,Protoopalina,Opalinidae,Opalinata,Bigyra
haematoloechus abbreviatus,138585,TRUE,Haematoloechus abbreviatus,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
nyctotheroides deslierresae,94672,TRUE,Nyctotheroides deslierresae,Nyctotheroides,Nyctotheridae,Clevelandellida,Armophorea
clinostomum marginatum,234884,TRUE,Clinostomum marginatum,Clinostomum,Clinostomidae,Strigeidida,Trematoda
rhabdias sphaerocephala,400398,TRUE,Rhabdias sphaerocephala,Rhabdias,Rhabdiasidae,Rhabditida,Chromadorea
trichomitus batrachorum,5732,TRUE,Trichomitus batrachorum,Trichomitus,Hypotrichomonadidae,Hypotrichomonadida,NA
wetapolystoma almae,142060,TRUE,Wetapolystoma almae,Wetapolystoma,Polystomatidae,Polystomatidea,Monogenea
choledocystus hepaticus,317612,TRUE,Choledocystus hepaticus,Choledocystus,Plagiorchiidae,Plagiorchiida,Trematoda
langeronia macrocirra,879978,TRUE,Langeronia macrocirra,Langeronia,Pleurogenidae,Plagiorchiida,Trematoda
ochoterenella royi,463146,TRUE,Ochoterenella royi,Ochoterenella,Onchocercidae,Rhabditida,Chromadorea
rhabdias pseudosphaerocephala,400397,TRUE,Rhabdias pseudosphaerocephala,Rhabdias,Rhabdiasidae,Rhabditida,Chromadorea
zeylanurotrema spearei,232592,TRUE,Zeylanurotrema spearei,Zeylanurotrema,Brachylaimidae,Diplostomida,Trematoda
gorgoderina attenuata,651029,TRUE,Gorgoderina attenuata,Gorgoderina,Gorgoderidae,Plagiorchiida,Trematoda
chlamydophila pneumoniae,83558,TRUE,Chlamydia pneumoniae,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
polystoma occipitalis,338082,TRUE,Polystoma occipitalis,Polystoma,Polystomatidae,Polystomatidea,Monogenea
haematoloechus exoterorchis,212220,TRUE,Haematoloechus exoterorchis,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
haematoloechus micrurus,212224,TRUE,Haematoloechus micrurus,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
