Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,Vector_GIDEON,VectorBorne,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
edwardsiella tarda,edwardsiella tarda,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Central America, Northern America, Eastern Asia, Southern Asia, Northern Europe","IN,MX,CN,LT,US"
ehrlichia canis,ehrlichia canis,bacteria/rickettsia,1,1,1,1,1,1,ehrlichiosis - human monocytic,vector,1,"tick (dermacentor variabilis, amblyomma americanum)",1,0,NA,0,"Middle Africa, Western Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Western Asia, Southern Europe","AR,US,NG,CV,IT,CN,CM,BR,VE,JP,TR,MY,TW,ES"
ehrlichia chaffeensis,ehrlichia chaffeensis,bacteria/rickettsia,1,1,1,1,1,1,ehrlichiosis - human monocytic,vector,1,"tick (dermacentor variabilis, amblyomma americanum)",1,1,ehrlichioses,1,"Middle Africa, South America, Northern America, Southern Europe, Eastern Asia","US,BR,VE,CM,PT,IT,CN"
ehrlichia ewingii,ehrlichia ewingii,bacteria/rickettsia,1,1,1,1,1,1,"anaplasmosis, erlichiosis","vector, direct",1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,1,ehrlichioses,1,"Northern America, South America","US,BR"
ehrlichia ruminantium,ehrlichia ruminantium,bacteria/rickettsia,1,1,1,1,1,1,ehrlichiosis - human monocytic,vector,1,"tick (dermacentor variabilis, amblyomma americanum)",1,0,NA,0,"Northern Africa, Eastern Africa, Southern Africa, Caribbean, Northern America","ET,SD,AG,ZA,US"
eikenella corrodens,eikenella corrodens,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,Southern Asia,IN
elizabethkingia meningoseptica,elizabethkingia meningoseptica,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Asia, Southern Asia","CN,IN,TW"
encephalitozoon cuniculi,encephalitozoon cuniculi,fungi,1,1,1,1,1,1,microsporidiosis,fecal-oral,1,NA,0,0,NA,1,"Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Western Europe, Australia and New Zealand","AU,AT,GB,JP,IR,CZ"
encephalitozoon hellem,encephalitozoon hellem,fungi,1,1,1,1,1,1,microsporidiosis,fecal-oral,1,NA,0,0,NA,0,Eastern Asia,CN
encephalomyocarditis,encephalomyocarditis,virus,1,1,1,1,1,1,respiratory viruses misc,"fluids, respiratory",0,NA,0,0,NA,1,,
entamoeba coli,entamoeba coli,protozoa,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Africa, Western Africa, South America, Eastern Asia, South-eastern Asia, Western Asia, Western Europe","VN,NG,MW,DE,BE,BR,JP,PE,CY,TR,TW"
entamoeba hartmanni,entamoeba hartmanni,protozoa,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,Northern Europe,GB
entamoeba histolytica,entamoeba histolytica,protozoa,1,1,1,1,1,1,"amoebiasis, amoebic abscess",NA,0,fly,1,0,NA,1,"Eastern Africa, Middle Africa, Western Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Northern Europe, Australia and New Zealand","IR,IN,CN,JP,MX,US,GB,BF,BD,BR,TH,PH,KH,VE,VN,GH,ID,SA,ET,TW,NG,AU,MV,CD"
entamoeba polecki,entamoeba polecki,protozoa,1,1,1,1,1,1,entamoeba polecki infection,food,1,NA,0,0,NA,0,"Eastern Africa, Northern Europe","SO,DK,KE,SE,ET"
enterobacter aerogenes,enterobacter aerogenes,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Central America, South America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Southern Europe","PK,MX,KR,RU,IT,TH,BR,IN,MY,HK,CN,JP,ES"
enterobacter amnigenus,enterobacter amnigenus,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern America, Eastern Asia, Eastern Europe, Northern Europe, Western Europe","US,NL,SK,FI,CN"
enterobacter asburiae,enterobacter asburiae,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Middle Africa, Central America, Northern America, Eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe","IN,CN,ES,GB,DE,MX,US,KR,GA,IT"
enterobacter cancerogenus,enterobacter cancerogenus,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern Africa, Northern America, Eastern Asia, South-eastern Asia, Southern Asia","IN,MY,US,MA,CN"
enterobacter cloacae,enterobacter cloacae,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","IN,PK,SE,NL,AR,DE,MX,CN,IT,JP,SK,FR,CZ,PT,US,MY,AT,DZ,BR,RU,TW,GB"
enterobacter gergoviae,enterobacter gergoviae,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,NA,0,0,NA,0,Eastern Asia,CN
enterobacter hormaechei,enterobacter hormaechei,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Central America, Eastern Asia, South-eastern Asia, Southern Asia, Western Europe","CN,HK,DE,MX,MY,IN"
enterobacter ludwigii,enterobacter ludwigii,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Africa, Central America, South America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Western Europe","CN,MY,SK,UY,MX,DE,BR,IN,KE"
enterobius vermicularis,enterobius vermicularis,helminth,1,1,1,1,1,1,enterobiasis,"environment, airborne, sexual, fecal-oral",0,NA,0,0,NA,1,"Northern Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Western Asia","MY,SD,CL,KR,CN,BR,JP,US,TW,TR"
enterococcus avium,enterococcus avium,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Asia, Northern Europe","DK,JP"
enterococcus casseliflavus,enterococcus casseliflavus,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Western Africa, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Northern Europe, Southern Europe","MY,TW,NG,US,IN,JP,PK,DK,IT"
enterococcus durans,enterococcus durans,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern America, Eastern Asia, Southern Asia, Eastern Europe, Southern Europe","ES,IR,IN,CN,JP,IT,US,RU"
enterococcus faecalis,enterococcus faecalis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Western Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","HU,PK,BR,CN,LT,TN,KR,DE,IN,NG,US,ES,IR,PT,TH,JP,UG,FR,SE,CL,IT,DK,TW,GB,SG,AU,MV,HK"
enterococcus faecium,enterococcus faecium,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","PK,BR,CN,IN,GR,KR,GH,TW,TN,GB,US,NG,RU,DE,MX,ES,IR,IT,FR,TH,NO,JP,AR,NL,UG,TR,DK,CA,IE,GE,PT,SG"
enterococcus gallinarum,enterococcus gallinarum,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Western Africa, Northern America, Eastern Asia, Southern Asia, Northern Europe","CN,IN,US,SE,NO,NG"
enterococcus hirae,enterococcus hirae,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Africa, South America, Northern America, Eastern Asia, Southern Europe","ES,AR,UG,JP,US,BR"
enterococcus mundtii,enterococcus mundtii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern America, Eastern Asia, Southern Asia","US,JP,IN"
enterococcus raffinosus,enterococcus raffinosus,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Southern Asia, Southern Europe","IR,ES"
enterocytozoon bieneusi,enterocytozoon bieneusi,fungi,1,1,1,1,1,1,microsporidiosis,fecal-oral,1,NA,0,0,NA,0,"Northern Africa, Eastern Africa, Middle Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Australia and New Zealand","UG,IR,CN,CM,GA,GB,TN,CZ,PE,US,TH,JP,AE,AU,KE"
enterovirus c,enterovirus c,virus,1,1,1,1,0,1,enterovirus,"fecal-oral, direct",0,NA,0,0,NA,0,,
epicoccum nigrum,epicoccum nigrum,fungi,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"South America, Northern America, Eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","EE,CN,AQ,CH,LV,SE,ES,CO,AT,US,AU,JP,BR,CZ,EC,LT,RS"
epidermophyton floccosum,epidermophyton floccosum,fungi,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"South America, Southern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IR,OM,GB,AU,FR,BO,IT"
erysipelothrix rhusiopathiae,erysipelothrix rhusiopathiae,bacteria/rickettsia,1,1,1,1,1,1,erysipeloid,food,1,NA,0,0,NA,1,,
escherichia albertii,escherichia albertii,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"South America, Eastern Asia, Southern Asia, Western Europe, Australia and New Zealand","BR,DE,BD,JP,AU"
escherichia coli,escherichia coli,bacteria/rickettsia,1,1,1,1,1,1,multiple (diarrhea),"food, water, fecal-oral",1,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Micronesia, Polynesia","KE,SD,IR,HU,SO,IN,PK,JP,NG,NL,AR,DE,US,GA,GB,AU,BD,NZ,BO,PE,RU,GR,CA,IT,MX,PL,CZ,SK,MY,PT,DK,TH,UY,CF,ES,CH,BR,NO,HR,EG,TN,ZA,SA,CN,FR,SE,AT,ID,CU,VE,SG,UG,IL,IE,RO,NP,TW,TZ,VN,KR,BE,FI,HK,CL,CM,SN,ML,MA,GT,PR,TR,ZW,NI,LB,ET,GH,CO,GW,TT,MG,NC,LY,BF,DZ,HT,PA,UM,MV,SB,SH,GU,PF"
eubacterium infirmum,eubacterium infirmum,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,Western Europe,AT
eubacterium nodatum,eubacterium nodatum,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
eucoleus aerophilus,eucoleus aerophilus,helminth,1,1,1,1,1,1,capillariasis (extraintestinal),"environment, food",1,NA,0,0,NA,1,,
european bat lyssavirus 1,european bat lyssavirus 1,virus,1,1,1,1,1,1,rabies,"direct, bite",1,NA,0,1,rabies,1,"Eastern Europe, Northern Europe, Southern Europe, Western Europe","PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,DE,DK"
european bat lyssavirus 2,european bat lyssavirus 2,virus,1,1,1,1,1,1,rabies,"direct, bite",1,NA,0,1,rabies,1,"Northern Europe, Western Europe","GB,CH,FI,NL,DE"
eurotium amstelodami,eurotium amstelodami,fungi,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Asia, Southern Asia, Eastern Europe, Western Europe, Australia and New Zealand","IN,AU,DE,CZ,CN,AT"
eurytrema pancreaticum,eurytrema pancreaticum,helminth,1,1,1,1,1,1,fascioliasis,food,1,NA,0,0,NA,1,Eastern Asia,CN
ewingella americana,ewingella americana,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Africa, Australia and New Zealand","NZ,KE"
fasciola gigantica,fasciola gigantica,helminth,1,1,1,1,1,1,fascioliasis,"food, water",1,NA,1,1,fascioliasis,1,"Northern Africa, Eastern Africa, Caribbean, South America, Central Asia, South-eastern Asia, Southern Asia, Western Asia, Western Europe, Australia and New Zealand, Western Africa, Northern America, Eastern Asia","CU,PE,BO,CL,BR,PR,FR,EG,ZW,UG,ET,SA,IR,UZ,PH,VN,AU,TZ,SN,BF,NE,ZM,IN,TR,CN,ID,TH,KR,CV,MR,MM,US,MV"
fasciola hepatica,fasciola hepatica,helminth,1,1,1,1,1,1,fascioliasis,"food, water",1,NA,1,1,fascioliasis,1,"Northern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","US,MX,PE,EC,BO,CL,AR,VE,CU,PR,PT,ES,FR,IT,NO,TR,EG,TN,IN,TH,KR,JP,NG,IR,SA,CN,AU,GR,GB,NE,IE,UY,DZ,AT,NL,CA"
fasciolopsis buski,fasciolopsis buski,helminth,1,1,1,1,1,1,fasciolopsiasis,food,1,NA,0,0,NA,1,"South-eastern Asia, Southern Asia","IN,VN"
foot-and-mouth disease,foot-and-mouth disease,virus,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
francisella tularensis,francisella tularensis,bacteria/rickettsia,1,1,1,1,1,1,tularemia,"vector, food, water, respiratory, direct",1,"deer fly (chrysops), tick, mosquito",1,1,tularemia (type b),1,"Northern America, Eastern Europe, Northern Europe, Eastern Asia, Southern Europe","RU,SE,FI,NO,US,CA,JP,HU,ES"
fusarium falciforme,fusarium falciforme,fungi,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Central America, Northern America, Eastern Asia","MX,US,JP"
fusarium incarnatum,fusarium incarnatum,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Caribbean, Central America, South America, Eastern Asia, South-eastern Asia, Southern Asia, Southern Europe","CN,CL,ID,IN,IT,BS,VN,JP,NI"
fusarium oxysporum,fusarium oxysporum,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern Africa, Eastern Africa, Southern Africa, Western Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","TZ,SA,IN,CN,AU,JP,ES,MX,US,VN,KR,NL,CA,TW,RU,CZ,KE,PH,HN,IT,BR,LT,ZA,EC,CI,DZ,AT,FR,EG,GR,IL,DE,ID,MY,TH,CO,NG,AF,CR,FI,CL"
fusarium proliferatum,fusarium proliferatum,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,,
fusarium solani,fusarium solani,fungi,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KM,CN,KR,JP,CM,DE,BR,BO,US,PE,LK,PT,AU,AR,SA,DO,CY,CA,CV,MX,IT,CR,TW,GB,ZA,FR,KH,ID,GF,ES,NO,EC,RU,MY,PH,IN,KE,CU,EG,CO,QA,BJ,AT,TH,NL,BG,TR"
fusarium subglutinans,fusarium subglutinans,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Southern Africa, Central America, South America, Northern America, Eastern Asia, Western Asia","IL,ZA,CN,US,BR,MX"
fusarium verticillioides,fusarium verticillioides,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,,
fusobacterium necrophorum,fusobacterium necrophorum,bacteria/rickettsia,1,1,1,1,1,1,various,NA,0,NA,0,0,NA,1,"Eastern Asia, Southern Asia","CN,IN"
fusobacterium nucleatum,fusobacterium nucleatum,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Africa, Northern America, Eastern Asia, Northern Europe, Western Europe","CN,NL,US,CH,SE,KM,DE"
fusobacterium varium,fusobacterium varium,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
gastrodiscoides hominis,gastrodiscoides hominis,helminth,1,0,1,1,1,1,gastrodiscoidiasis,"food, environment",1,NA,0,0,NA,1,,
gb virus c,gb virus c,virus,1,1,1,1,0,1,human pegivirus infection,"fluids, sexual",0,NA,0,0,NA,0,South America,
giardia intestinalis,giardia intestinalis,protozoa,1,1,1,1,1,1,giardiasis,"food, water, environment",1,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IR,ET,PL,CN,IN,JP,AU,ES,CU,DE,MX,US,TN,BE,KR,CA,GB,GW,HR,CZ,BD,DK,IT,BF,BR,TH,SE,NZ,TW,EG,VE,TR"
gibberella intermedia,gibberella intermedia,fungi,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Western Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Southern Europe","IR,IT,CO,AQ,EC,CN,IN,MY,KR,US,TW,JP,ES,RS,PE,ID,CI,BF"
gibberella moniliformis,gibberella moniliformis,fungi,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Western Africa, Central America, South America, Northern America, Eastern Asia, Southern Asia, Southern Europe, Western Europe","CN,IT,US,BD,IR,ES,MX,EC,IN,CI,BR,KR,NI,FR,CO"
gibbon ape leukemia,gibbon ape leukemia,virus,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,,
gnathostoma binucleatum,gnathostoma binucleatum,helminth,1,1,0,1,1,1,gnathostomiasis,food,1,NA,0,0,NA,0,"Central America, South America","MX,EC"
gnathostoma doloresi,gnathostoma doloresi,helminth,1,1,1,1,1,1,gnathostomiasis,"food, direct",1,NA,0,0,NA,1,Eastern Asia,JP
gnathostoma nipponicum,gnathostoma nipponicum,helminth,1,1,1,1,1,1,gnathostomiasis,food,1,NA,0,0,NA,1,Eastern Asia,JP
gnathostoma spinigerum,gnathostoma spinigerum,helminth,1,1,1,1,1,1,gnathostomiasis,"food, direct",1,NA,0,0,NA,1,"Northern America, Eastern Asia, South-eastern Asia","CN,JP,TH,PH,US,ID"
gongylonema pulchrum,gongylonema pulchrum,helminth,1,1,1,1,1,1,gongylonemiasis,food,1,NA,0,0,NA,1,"Eastern Asia, Southern Asia","IR,JP"
guanarito,guanarito,virus,1,1,1,1,1,1,venezuelan haemorrhagic fever,"direct, environment, respiratory",1,NA,0,1,Venezuelan hemorrhagic fever,1,,
haemonchus contortus,haemonchus contortus,helminth,1,1,1,1,1,1,trichostrongyliasis,"water, food, direct",1,NA,0,0,NA,1,"Northern Africa, Middle Africa, Caribbean, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","EG,IR,CN,AU,IN,US,GB,FR,CD,MY,YE,MN,IT,NL,VI"
hafnia alvei,hafnia alvei,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Asia, Northern Europe, Western Europe","DE,FR,JP,GB"
hantaan,hantaan,virus,1,1,1,1,1,1,old world hantavirus,"direct, environmental, respiratory",1,NA,0,1,hemorrhagic fever with renal syndrome,1,"Eastern Asia, Eastern Europe","CN,RU,KP,KR"
haplorchis pumilio,haplorchis pumilio,helminth,1,1,1,1,1,1,small intestinal trematodes,food,1,NA,0,0,NA,1,South-eastern Asia,"VN,TH"
haplorchis taichui,haplorchis taichui,helminth,1,1,1,1,1,1,small intestinal trematodes,food,1,NA,0,0,NA,1,South-eastern Asia,"TH,LA,VN"
haplorchis yokogawai,haplorchis yokogawai,helminth,1,1,1,1,1,1,small intestinal trematodes,food,1,NA,0,0,NA,1,South-eastern Asia,TH
helicobacter cinaedi,helicobacter cinaedi,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,Southern Africa,ZA
helicobacter heilmannii,helicobacter heilmannii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
helicobacter pullorum,helicobacter pullorum,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern America, Western Europe","US,AT"
helicobacter pylori,helicobacter pylori,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Polynesia","KE,IR,BY,FI,NL,CL,IT,LT,IN,BD,VN,SN,NZ,PE,CN,JP,US,PH,BR,CO,PL,FR,UY,GB,CR,IE,ZA,GT,TH,GM,AR,HK,PT,AU,TR,KH,SG,RU,GR,KZ,KR,TW,VE,MY,NO,DE,ES,MX,SE,EE,CA,BE,SA,PK,ID,PA,DK,PF,BQ,MV"
hendra,hendra,virus,1,1,1,1,1,1,hendra virus disease,"direct, environmental, respiratory",1,NA,0,1,hendra virus,1,Australia and New Zealand,AU
hepatitis a,hepatitis a,virus,1,1,1,1,1,1,hepatitis a,"food, water, fecal-oral",1,NA,0,0,NA,1,South America,
hepatitis b,hepatitis b,virus,1,1,1,1,1,1,hepatitis b,"direct, sexual, blood",1,NA,0,0,NA,0,South America,
hepatitis c,hepatitis c,virus,1,1,1,1,0,1,hepatitis c,"blood, sexual",0,NA,0,0,NA,0,South America,
hepatitis e,hepatitis e,virus,1,1,1,1,1,1,hepatitis e,"fecal-oral, water, food",1,NA,0,0,NA,1,South America,
heterobilharzia americana,heterobilharzia americana,helminth,1,1,1,1,1,1,"cercarial dermatitis (avian schistomoiasis, swimmer's itch)",direct,1,NA,0,0,NA,1,Northern America,US
heterophyes heterophyes,heterophyes heterophyes,helminth,1,1,1,1,1,1,small intestinal trematodes,food,1,NA,0,0,NA,1,"Southern Asia, Eastern Asia, South-eastern Asia, Northern Africa",
heterophyopsis continua,heterophyopsis continua,helminth,1,1,1,1,1,1,small intestinal trematodes,food,1,NA,0,0,NA,1,,
histoplasma capsulatum var. farciminosum,histoplasma capsulatum var. farciminosum,bacteria/rickettsia,1,0,1,1,1,1,histoplasmosis,"environment, respiratory, direct",1,NA,0,0,NA,1,,
human adenovirus b,human adenovirus b,virus,1,1,1,1,1,1,adenovirus infection,"airborne, water",1,NA,0,0,NA,0,"Northern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IL,JP,MA,AT,GB,PT,KR,AU,US,MX,TW,SA,IE,TH,CA,MY,TR,IT,NL,CN,EG,SG,ES,AR"
human adenovirus c,human adenovirus c,virus,1,1,1,1,1,1,adenovirus infection,"airborne, water",1,NA,0,0,NA,0,"Northern Africa, Southern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","JP,MA,GB,US,IR,BR,HU,PY,DE,AZ,MX,RU,MY,ZA,AR,AM,CN,EG,VN,TW,IT"
human enterovirus b,human enterovirus b,virus,1,1,1,1,0,1,enterovirus infection,"direct fecal-oral, respiratory",0,NA,0,0,NA,0,"Northern Africa, Eastern Africa, Middle Africa, Western Africa, Caribbean, Central America, South America, Northern America, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","BY,GR,CY,KE,EE,CD,CN,PL,RO,IN,AU,JP,ES,DK,MA,BF,GB,DE,AR,US,OM,RU,EG,PK,NG,DZ,FR,ET,BE,NL,IT,TW,CA,CH,LY,TN,HK,DO,FI,CR,MG,HU,PA,KR,BD,KH,MN,LV,AZ,TR,HR,BR,AT,UZ,GE,CU,UA,SG,LT,EC,MD,HN,SE,IR,IL,KG,IE,JO,IQ,MX,CZ,JM"
human enterovirus c,human enterovirus c,virus,1,1,1,1,0,1,enterovirus infection,"direct fecal-oral, respiratory",0,NA,0,0,NA,0,"Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IL,CF,BY,SO,CN,CM,LR,TD,MA,AU,IT,GT,CU,IN,JP,NL,TW,NG,GB,SD,PK,EG,ZM,TN,US,GR,VN,DO,CY,CO,MG,CD,MY,RU,KR,BD,KH,MN,EC,FI,AR,ZA,TR,BR,NI,ID,SN,BJ,IQ,AM,SY,FR,CI,GE,SG,AF,CA,BF,AO,HK,PH,KE,NP,GH,DK,GF,TM,DE,NE,LA,MX,IR,PS,GP,MV"
human herpesvirus 1,human herpesvirus 1,virus,1,1,1,1,0,1,"herpes simplex encephalitis, herpes simplex","direct, sexual",0,NA,0,0,NA,0,"Eastern Africa, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","JP,SE,DE,KR,US,GB,SK,ES,FR,CN,IN,NL,KE,AU,SG,TW"
human herpesvirus 4,human herpesvirus 4,virus,1,1,1,1,0,1,infectious mononucleosis,"blood, respiratory",0,NA,0,0,NA,0,"Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Polynesia","AU,HK,IT,MY,CN,FR,SI,JP,TW,RS,AR,RU,GB,SG,TH,CA,US,MX,BR,PF"
human herpesvirus 6,human herpesvirus 6,virus,1,1,1,1,0,1,herpesvirus 6,"contact, respiratory",0,NA,0,0,NA,0,"Eastern Africa, Middle Africa, South America, Eastern Asia, Southern Asia","IN,JP,BR,CD,CN,UG"
human herpesvirus 8,human herpesvirus 8,virus,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, South America, Northern America, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia","CF,IR,ZW,SN,CM,CU,TW,NZ,SA,KW,BW,GR,IT,NC,PE,GA,US,EC,GF,BR,JP,SB,HT,RU,CG,CD,FR,ZA,CN,GB,MW,IL,HU,GM,AR,UG,AU,ZM,NL"
