Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
a influenza a,influenza a,virus,1,1,1,1,1,1,influenza,"respiratory, direct",1,0,NA,0,NA,1,NA,NA
achromobacter xylosoxidans,achromobacter xylosoxidans,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
acinetobacter baumannii,acinetobacter baumannii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Eastern Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KE,FI,IR,IT,SE,CL,US,KR,HT,GR,JP,CN,FR,CO,PL,TH,GB,BR,NO,MY,IN,TN,IQ,IE,TR,SG,AU,DE,AR,LT,RU,CA,PT,TW,HK"
acinetobacter calcoaceticus,acinetobacter calcoaceticus,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Western Africa, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","FI,SE,ML,CN,SK,TH,GB,IN,SA,KG,ES,MY"
acinetobacter lwoffii,acinetobacter lwoffii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
acinetobacter sp.,acinetobacter sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
actinobacillus actinomycetemcomitans,actinobacillus actinomycetemcomitans,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
actinobacillus equuli,actinobacillus equuli,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,Northern Europe,NO
actinobacillus sp.,actinobacillus sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
actinomyces sp.,actinomyces sp.,bacteria/rickettsia,1,0,1,1,1,1,various infections,direct,1,0,NA,0,NA,0,,
aerococcus viridans,aerococcus viridans,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
aeromonas hydrophila,aeromonas hydrophila,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,0,NA,0,NA,1,"Northern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IN,JP,PT,TH,AU,DE,GR,MX,FI,CO,BD,CN,NO,CH,ES,MY,US,BR,FR,SE,IL,SG,GB,IR,MA,CA,RU,TW,EG"
aeromonas sp.,aeromonas sp.,bacteria/rickettsia,1,0,1,1,1,1,aeromonas infection,"food, water, direct",0,0,0,0,0,1,NA,NA
agrobacterium tumefaciens,agrobacterium tumefaciens,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Southern Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","ES,FR,CL,MX,DE,AU,US,RU,CN,JP,PL,DK,GB,IN,TN,ZA,DZ,CU,EG,MA,BS,BE,IL,TH,KW"
alaria americana,alaria americana,helminth,1,0,1,1,1,1,paragonimiasis,food,1,0,0,0,0,1,NA,NA
alaria marcianae,alaria marcianae,helminth,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
alcaligenes sp.,alcaligenes sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,0,0,NA,0,,
alphacoronavirus 1,alphacoronavirus 1,virus,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
anaplasma ovis,anaplasma ovis,bacteria/rickettsia,1,1,1,1,1,1,anaplasmosis,"vector, direct",1,1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,ehrlichioses,0,NA,NA
anaplasma phagocytophilum,anaplasma phagocytophilum,bacteria/rickettsia,1,1,1,1,1,1,anaplasmosis,"vector, direct",1,1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,ehrlichioses,0,NA,NA
anaplasma sp.,anaplasma sp.,bacteria/rickettsia,1,0,1,1,1,1,anaplasmosis,"vector, direct",1,1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,ehrlichioses,0,NA,NA
ancylostoma braziliense,ancylostoma braziliense,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,0,NA,0,NA,1,NA,NA
ancylostoma caninum,ancylostoma caninum,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,0,NA,0,NA,1,NA,NA
ancylostoma duodenale,ancylostoma duodenale,helminth,1,1,1,1,1,1,hookworm,environment,1,0,NA,0,NA,1,NA,NA
angiostrongylus costaricensis,angiostrongylus costaricensis,helminth,1,1,1,1,1,1,"angiostrongyliasis, abdominal","direct, environmental",1,0,NA,1,eosinophilic meningitis,0,NA,NA
anisakis pegreffii,anisakis pegreffii,helminth,1,0,1,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Europe","KR,PT,JP,CN,AQ,IT"
anisakis physeteris,anisakis physeteris,helminth,1,1,1,1,1,1,anisakiasis,food,1,0,NA,0,NA,1,"South America, Eastern Asia, Southern Europe","BR,JP,IT"
anisakis simplex,anisakis simplex,helminth,1,1,1,1,1,1,anisakiasis,food,1,0,NA,0,NA,1,NA,NA
apophallus donicus,apophallus donicus,helminth,1,0,1,1,1,1,small intestinal trematodes,food,1,0,NA,0,NA,1,NA,NA
arcanobacterium haemolyticum,arcanobacterium haemolyticum,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,,
arcanobacterium pyogenes,arcanobacterium pyogenes,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
ascaris lumbricoides,ascaris lumbricoides,helminth,1,1,1,1,1,1,ascariasis,food,1,0,NA,0,NA,1,NA,NA
ascaris suum,ascaris suum,helminth,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
ascocotyle sp.,ascocotyle sp.,helminth,1,0,1,1,1,1,small intestinal trematodes,food,1,0,NA,0,NA,1,,
b influenza b,influenza b,virus,1,1,1,1,1,1,influenza,respiratory,1,0,NA,0,NA,1,South America,
babesia bovis,babesia bovis,protozoa,1,1,1,1,1,1,babesiosis,vector,1,1,ixodes,1,babesiosis,1,NA,NA
babesia divergens,babesia divergens,protozoa,1,1,1,1,1,1,babesiosis,vector,1,1,ixodes ricinus,1,babesiosis,1,NA,NA
babesia microti,babesia microti,protozoa,1,1,1,1,1,1,babesiosis,vector,1,1,ixodes scapularis,1,babesiosis,1,"Central America, Northern America, Eastern Asia, Western Europe, Eastern Europe, Northern Europe, Southern Europe","US,CA,MX,DE,JP,EE,PL,CN,CH,TW,KR,GB,RU,AT,SI,ES"
bacillus anthracis,bacillus anthracis,bacteria/rickettsia,1,1,1,1,1,1,anthrax,"environment, food, vector",1,1,fly (rare),0,NA,1,NA,NA
bacillus cereus,bacillus cereus,bacteria/rickettsia,1,1,1,1,1,1,bacillus cereus food poisoning,"food, environment",0,0,NA,0,NA,1,"Northern Africa, Eastern Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","HU,BR,CN,IN,KR,BE,VN,TW,CA,BO,GB,MY,US,MX,IR,IT,ES,NL,PT,TH,BF,UY,JP,CH,EC,IE,CI,BS,SE,AT,EG,DK,DE,FR,NO,FI,MZ,HK,QA,PK,TN,AR,MV"
bacillus coagulans,bacillus coagulans,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Africa, Southern Africa, South America, Eastern Asia, Southern Asia, Southern Europe, Western Europe","CL,CN,IN,KR,IT,NL,JP,ZA,MZ"
bacillus mycoides,bacillus mycoides,bacteria/rickettsia,1,0,1,1,0,1,bacillus food poisoning,food,0,0,NA,0,NA,0,"Western Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","FR,IN,CN,VN,MX,MY,RU,DE,ML,TH,JP,AR,HU,IT,GB,PK,DK,US"
bacillus thuringiensis,bacillus thuringiensis,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Eastern Africa, Southern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","SD,HU,SY,PK,CN,UA,JP,AQ,IN,QA,KR,VN,CA,GB,US,MY,LB,DE,IR,TN,CO,PL,MX,PT,TH,UY,AR,IE,TR,ES,IL,FR,TW,RU,ZA,EG,MZ,BR,AU"
balantidium coli,balantidium coli,bacteria/rickettsia,1,1,1,1,1,1,balantidiasis,"food, water",1,0,NA,0,NA,1,NA,NA
bartonella clarridgeiae,bartonella clarridgeiae,bacteria/rickettsia,1,0,1,1,1,1,bartonellosis (cat-borne),"vector, direct",1,1,flea (Ctenocephalides),0,NA,0,NA,NA
bartonella henselae,bartonella henselae,bacteria/rickettsia,1,1,1,1,1,1,"bacillary angiomatosis, bartonellosis","vector, direct",1,1,"flea (ctenocephalides), tick (ixodid)",0,NA,1,NA,NA
bartonella rochalimae,bartonella rochalimae,bacteria/rickettsia,1,1,1,1,1,1,bartonellosis,"vector, direct",1,1,louse (pediculus),0,NA,0,NA,NA
