Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
achromobacter xylosoxidans,achromobacter xylosoxidans,achromobacter xylosoxidans,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
acinetobacter antiviralis,acinetobacter antiviralis,acinetobacter antiviralis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
acinetobacter baumannii,acinetobacter baumannii,acinetobacter baumannii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Eastern Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KE,FI,IR,IT,SE,CL,US,KR,HT,GR,JP,CN,FR,CO,PL,TH,GB,BR,NO,MY,IN,TN,IQ,IE,TR,SG,AU,DE,AR,LT,RU,CA,PT,TW,HK"
acinetobacter calcoaceticus,acinetobacter calcoaceticus,acinetobacter calcoaceticus,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Western Africa, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","FI,SE,ML,CN,SK,TH,GB,IN,SA,KG,ES,MY"
acinetobacter lwoffii,acinetobacter lwoffii,acinetobacter lwoffii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
acinetobacter sp.,acinetobacter sp.,acinetobacter sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
actinobacillus actinomycetemcomitans,actinobacillus actinomycetemcomitans,actinobacillus actinomycetemcomitans,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
actinobacillus equuli,actinobacillus equuli,actinobacillus equuli,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,Northern Europe,NO
actinobacillus sp.,actinobacillus sp.,actinobacillus sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
actinomyces sp.,actinomyces sp.,actinomyces sp.,bacteria/rickettsia,1,0,1,1,1,1,various infections,direct,1,0,NA,0,NA,0,,
aerococcus sp.,aerococcus sp.,aerococcus sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aerococcus viridans,aerococcus viridans,aerococcus viridans,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
aeromonas hydrophila,aeromonas hydrophila,aeromonas hydrophila,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,0,NA,0,NA,1,"Northern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IN,JP,PT,TH,AU,DE,GR,MX,FI,CO,BD,CN,NO,CH,ES,MY,US,BR,FR,SE,IL,SG,GB,IR,MA,CA,RU,TW,EG"
aeromonas sp.,aeromonas sp.,aeromonas sp.,bacteria/rickettsia,1,0,1,1,1,1,aeromonas infection,"food, water, direct",0,0,0,0,0,1,NA,NA
agrobacterium sp.,agrobacterium sp.,agrobacterium sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
agrobacterium tumefaciens,agrobacterium tumefaciens,agrobacterium tumefaciens,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Southern Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","ES,FR,CL,MX,DE,AU,US,RU,CN,JP,PL,DK,GB,IN,TN,ZA,DZ,CU,EG,MA,BS,BE,IL,TH,KW"
alcaligenes sp.,alcaligenes sp.,alcaligenes sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,0,0,NA,0,,
anaplasma marginale,anaplasma marginale,anaplasma marginale,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anaplasma ovis,anaplasma ovis,anaplasma ovis,bacteria/rickettsia,1,1,1,1,1,1,anaplasmosis,"vector, direct",1,1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,ehrlichioses,0,NA,NA
anaplasma phagocytophilum,anaplasma phagocytophilum,anaplasma phagocytophilum,bacteria/rickettsia,1,1,1,1,1,1,anaplasmosis,"vector, direct",1,1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,ehrlichioses,0,NA,NA
anaplasma platys,anaplasma platys,anaplasma platys,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anaplasma sp.,anaplasma sp.,anaplasma sp.,bacteria/rickettsia,1,0,1,1,1,1,anaplasmosis,"vector, direct",1,1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,ehrlichioses,0,NA,NA
arcanobacterium haemolyticum,arcanobacterium haemolyticum,arcanobacterium haemolyticum,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,,
