Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,Vector_GIDEON,VectorBorne,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
agrococcus baldri,agrococcus baldri,agrococcus baldri,bacteria,,,,,,,,,,,,,,,,
alistipes onderdonkii,alistipes onderdonkii,alistipes onderdonkii,bacteria,,,,,,,,,,,,,,,,
alistipes shahii,alistipes shahii,alistipes shahii,bacteria,,,,,,,,,,,,,,,,
alloiococcus otitis,alloiococcus otitis,alloiococcus otitis,bacteria,,,,,,,,,,,,,,,,
anaerococcus lactolyticus,anaerococcus lactolyticus,anaerococcus lactolyticus,bacteria,,,,,,,,,,,,,,,,
anaerococcus tetradius,anaerococcus tetradius,anaerococcus tetradius,bacteria,,,,,,,,,,,,,,,,
anaeroglobus geminatus,anaeroglobus geminatus,anaeroglobus geminatus,bacteria,,,,,,,,,,,,,,,,
anaerostipes caccae,anaerostipes caccae,anaerostipes caccae,bacteria,,,,,,,,,,,,,,,,
anoxybacillus pushchinoensis,anoxybacillus pushchinoensis,anoxybacillus pushchinoensis,bacteria,,,,,,,,,,,,,,,,
aquamicrobium lusatiense,aquamicrobium lusatiense,aquamicrobium lusatiense,bacteria,,,,,,,,,,,,,,,,
arcanobacterium bernardiae,arcanobacterium bernardiae,arcanobacterium bernardiae,bacteria,,,,,,,,,,,,,,,,
arthrobacter mysorens,arthrobacter mysorens,arthrobacter mysorens,bacteria,,,,,,,,,,,,,,,,
arthrobacter woluwensis,arthrobacter woluwensis,arthrobacter woluwensis,bacteria,,,,,,,,,,,,,,,,
asaia lannaensis,asaia lannaensis,asaia lannaensis,bacteria,,,,,,,,,,,,,,,,
atopobium parvulum,atopobium parvulum,atopobium parvulum,bacteria,,,,,,,,,,,,,,,,
atopobium rimae,atopobium rimae,atopobium rimae,bacteria,,,,,,,,,,,,,,,,
atopobium vaginae,atopobium vaginae,atopobium vaginae,bacteria,,,,,,,,,,,,,,,,
aurantimonas altamirensis,aurantimonas altamirensis,aurantimonas altamirensis,bacteria,,,,,,,,,,,,,,,,
bacillus mojavensis,bacillus mojavensis,bacillus mojavensis,bacteria,,,,,,,,,,,,,,,,
bacillus thioparans,bacillus thioparans,bacillus thioparans,bacteria,,,,,,,,,,,,,,,,
bacteroides caccae,bacteroides caccae,bacteroides caccae,bacteria,,,,,,,,,,,,,,,,
bacteroides clarus,bacteroides clarus,bacteroides clarus,bacteria,,,,,,,,,,,,,,,,
bacteroides coprocola,bacteroides coprocola,bacteroides coprocola,bacteria,,,,,,,,,,,,,,,,
bacteroides dorei,bacteroides dorei,bacteroides dorei,bacteria,,,,,,,,,,,,,,,,
bacteroides eggerthii,bacteroides eggerthii,bacteroides eggerthii,bacteria,,,,,,,,,,,,,,,,
bacteroides finegoldii,bacteroides finegoldii,bacteroides finegoldii,bacteria,,,,,,,,,,,,,,,,
bacteroides fluxus,bacteroides fluxus,bacteroides fluxus,bacteria,,,,,,,,,,,,,,,,
bacteroides heparinolyticus,bacteroides heparinolyticus,bacteroides heparinolyticus,bacteria,,,,,,,,,,,,,,,,
bacteroides ovatus,bacteroides ovatus,bacteroides ovatus,bacteria,,,,,,,,,,,,,,,,
bacteroides stercoris,bacteroides stercoris,bacteroides stercoris,bacteria,,,,,,,,,,,,,,,,
bacteroides thetaiotaomicron,bacteroides thetaiotaomicron,bacteroides thetaiotaomicron,bacteria,,,,,,,,,,,,,,,,
bacteroides ureolyticus,bacteroides ureolyticus,bacteroides ureolyticus,bacteria,,,,,,,,,,,,,,,,
bacteroides xylanisolvens,bacteroides xylanisolvens,bacteroides xylanisolvens,bacteria,,,,,,,,,,,,,,,,
bartonella bacilliformis,bartonella bacilliformis,bartonella bacilliformis,bacteria,,,,,,,,,,,,,,,,
bartonella tamiae,bartonella tamiae,bartonella tamiae,bacteria,,,,,,,,,,,,,,,,
bifidobacterium bifidum,bifidobacterium bifidum,bifidobacterium bifidum,bacteria,,,,,,,,,,,,,,,,
bifidobacterium breve,bifidobacterium breve,bifidobacterium breve,bacteria,,,,,,,,,,,,,,,,
bifidobacterium catenulatum,bifidobacterium catenulatum,bifidobacterium catenulatum,bacteria,,,,,,,,,,,,,,,,
bifidobacterium dentium,bifidobacterium dentium,bifidobacterium dentium,bacteria,,,,,,,,,,,,,,,,
bifidobacterium kashiwanohense,bifidobacterium kashiwanohense,bifidobacterium kashiwanohense,bacteria,,,,,,,,,,,,,,,,
bifidobacterium longum,bifidobacterium longum,bifidobacterium longum,bacteria,,,,,,,,,,,,,,,,
bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum,bacteria,,,,,,,,,,,,,,,,
bifidobacterium scardovii,bifidobacterium scardovii,bifidobacterium scardovii,bacteria,,,,,,,,,,,,,,,,
bilophila wadsworthia,bilophila wadsworthia,bilophila wadsworthia,bacteria,,,,,,,,,,,,,,,,
blautia producta,blautia producta,blautia producta,bacteria,,,,,,,,,,,,,,,,
blautia wexlerae,blautia wexlerae,blautia wexlerae,bacteria,,,,,,,,,,,,,,,,
bordetella holmesii,bordetella holmesii,bordetella holmesii,bacteria,,,,,,,,,,,,,,,,
bordetella pertussis,bordetella pertussis,bordetella pertussis,bacteria,,,,,,,,,,,,,,,,
bordetella petrii,bordetella petrii,bordetella petrii,bacteria,,,,,,,,,,,,,,,,
bordetella trematum,bordetella trematum,bordetella trematum,bacteria,,,,,,,,,,,,,,,,
borrelia recurrentis,borrelia recurrentis,borrelia recurrentis,bacteria,,,,,,,,,,,,,,,,
brachyspira aalborgi,brachyspira aalborgi,brachyspira aalborgi,bacteria,,,,,,,,,,,,,,,,
brevibacterium ravenspurgense,brevibacterium ravenspurgense,brevibacterium ravenspurgense,bacteria,,,,,,,,,,,,,,,,
brevundimonas vesicularis,brevundimonas vesicularis,brevundimonas vesicularis,bacteria,,,,,,,,,,,,,,,,
bulleidia extructa,bulleidia extructa,bulleidia extructa,bacteria,,,,,,,,,,,,,,,,
burkholderia cenocepacia,burkholderia cenocepacia,burkholderia cenocepacia,bacteria,,,,,,,,,,,,,,,,
burkholderia cepacia,burkholderia cepacia,burkholderia cepacia,bacteria,,,,,,,,,,,,,,,,
burkholderia dolosa,burkholderia dolosa,burkholderia dolosa,bacteria,,,,,,,,,,,,,,,,
burkholderia endofungorum,burkholderia endofungorum,burkholderia endofungorum,bacteria,,,,,,,,,,,,,,,,
burkholderia gladioli,burkholderia gladioli,burkholderia gladioli,bacteria,,,,,,,,,,,,,,,,
burkholderia multivorans,burkholderia multivorans,burkholderia multivorans,bacteria,,,,,,,,,,,,,,,,
burkholderia rhizoxinica,burkholderia rhizoxinica,burkholderia rhizoxinica,bacteria,,,,,,,,,,,,,,,,
burkholderia stabilis,burkholderia stabilis,burkholderia stabilis,bacteria,,,,,,,,,,,,,,,,
burkholderia tropica,burkholderia tropica,burkholderia tropica,bacteria,,,,,,,,,,,,,,,,
campylobacter concisus,campylobacter concisus,campylobacter concisus,bacteria,,,,,,,,,,,,,,,,
campylobacter curvus,campylobacter curvus,campylobacter curvus,bacteria,,,,,,,,,,,,,,,,
campylobacter gracilis,campylobacter gracilis,campylobacter gracilis,bacteria,,,,,,,,,,,,,,,,
campylobacter hominis,campylobacter hominis,campylobacter hominis,bacteria,,,,,,,,,,,,,,,,
campylobacter insulaenigrae,campylobacter insulaenigrae,campylobacter insulaenigrae,bacteria,,,,,,,,,,,,,,,,
campylobacter lari,campylobacter lari,campylobacter lari,bacteria,,,,,,,,,,,,,,,,
campylobacter rectus,campylobacter rectus,campylobacter rectus,bacteria,,,,,,,,,,,,,,,,
campylobacter showae,campylobacter showae,campylobacter showae,bacteria,,,,,,,,,,,,,,,,
capnocytophaga gingivalis,capnocytophaga gingivalis,capnocytophaga gingivalis,bacteria,,,,,,,,,,,,,,,,
capnocytophaga granulosa,capnocytophaga granulosa,capnocytophaga granulosa,bacteria,,,,,,,,,,,,,,,,
capnocytophaga ochracea,capnocytophaga ochracea,capnocytophaga ochracea,bacteria,,,,,,,,,,,,,,,,
capnocytophaga sputigena,capnocytophaga sputigena,capnocytophaga sputigena,bacteria,,,,,,,,,,,,,,,,
cardiobacterium hominis,cardiobacterium hominis,cardiobacterium hominis,bacteria,,,,,,,,,,,,,,,,
cardiobacterium valvarum,cardiobacterium valvarum,cardiobacterium valvarum,bacteria,,,,,,,,,,,,,,,,
catonella morbi,catonella morbi,catonella morbi,bacteria,,,,,,,,,,,,,,,,
cellvibrio mixtus,cellvibrio mixtus,cellvibrio mixtus,bacteria,,,,,,,,,,,,,,,,
centipeda periodontii,centipeda periodontii,centipeda periodontii,bacteria,,,,,,,,,,,,,,,,
citrobacter koseri,citrobacter koseri,citrobacter koseri,bacteria,,,,,,,,,,,,,,,,
citrobacter rodentium,citrobacter rodentium,citrobacter rodentium,bacteria,,,,,,,,,,,,,,,,
cloacibacillus evryensis,cloacibacillus evryensis,cloacibacillus evryensis,bacteria,,,,,,,,,,,,,,,,
clostridium baratii,clostridium baratii,clostridium baratii,bacteria,,,,,,,,,,,,,,,,
clostridium clostridioforme,clostridium clostridioforme,clostridium clostridioforme,bacteria,,,,,,,,,,,,,,,,
clostridium hylemonae,clostridium hylemonae,clostridium hylemonae,bacteria,,,,,,,,,,,,,,,,
clostridium ramosum,clostridium ramosum,clostridium ramosum,bacteria,,,,,,,,,,,,,,,,
collinsella aerofaciens,collinsella aerofaciens,collinsella aerofaciens,bacteria,,,,,,,,,,,,,,,,
collinsella intestinalis,collinsella intestinalis,collinsella intestinalis,bacteria,,,,,,,,,,,,,,,,
comamonas testosteroni,comamonas testosteroni,comamonas testosteroni,bacteria,,,,,,,,,,,,,,,,
corynebacterium amycolatum,corynebacterium amycolatum,corynebacterium amycolatum,bacteria,,,,,,,,,,,,,,,,
corynebacterium argentoratense,corynebacterium argentoratense,corynebacterium argentoratense,bacteria,,,,,,,,,,,,,,,,
corynebacterium atypicum,corynebacterium atypicum,corynebacterium atypicum,bacteria,,,,,,,,,,,,,,,,
corynebacterium diphtheriae,corynebacterium diphtheriae,corynebacterium diphtheriae,bacteria,,,,,,,,,,,,,,,,
corynebacterium durum,corynebacterium durum,corynebacterium durum,bacteria,,,,,,,,,,,,,,,,
corynebacterium freiburgense,corynebacterium freiburgense,corynebacterium freiburgense,bacteria,,,,,,,,,,,,,,,,
corynebacterium jeikeium,corynebacterium jeikeium,corynebacterium jeikeium,bacteria,,,,,,,,,,,,,,,,
corynebacterium kroppenstedtii,corynebacterium kroppenstedtii,corynebacterium kroppenstedtii,bacteria,,,,,,,,,,,,,,,,
corynebacterium macginleyi,corynebacterium macginleyi,corynebacterium macginleyi,bacteria,,,,,,,,,,,,,,,,
corynebacterium massiliense,corynebacterium massiliense,corynebacterium massiliense,bacteria,,,,,,,,,,,,,,,,
corynebacterium mastitidis,corynebacterium mastitidis,corynebacterium mastitidis,bacteria,,,,,,,,,,,,,,,,
corynebacterium matruchotii,corynebacterium matruchotii,corynebacterium matruchotii,bacteria,,,,,,,,,,,,,,,,
corynebacterium propinquum,corynebacterium propinquum,corynebacterium propinquum,bacteria,,,,,,,,,,,,,,,,
corynebacterium pseudodiphtheriticum,corynebacterium pseudodiphtheriticum,corynebacterium pseudodiphtheriticum,bacteria,,,,,,,,,,,,,,,,
corynebacterium pyruviciproducens,corynebacterium pyruviciproducens,corynebacterium pyruviciproducens,bacteria,,,,,,,,,,,,,,,,
corynebacterium riegelii,corynebacterium riegelii,corynebacterium riegelii,bacteria,,,,,,,,,,,,,,,,
corynebacterium simulans,corynebacterium simulans,corynebacterium simulans,bacteria,,,,,,,,,,,,,,,,
corynebacterium stationis,corynebacterium stationis,corynebacterium stationis,bacteria,,,,,,,,,,,,,,,,
corynebacterium striatum,corynebacterium striatum,corynebacterium striatum,bacteria,,,,,,,,,,,,,,,,
corynebacterium tuberculostearicum,corynebacterium tuberculostearicum,corynebacterium tuberculostearicum,bacteria,,,,,,,,,,,,,,,,
corynebacterium urealyticum,corynebacterium urealyticum,corynebacterium urealyticum,bacteria,,,,,,,,,,,,,,,,
corynebacterium ureicelerivorans,corynebacterium ureicelerivorans,corynebacterium ureicelerivorans,bacteria,,,,,,,,,,,,,,,,
cronobacter malonaticus,cronobacter malonaticus,cronobacter malonaticus,bacteria,,,,,,,,,,,,,,,,
cronobacter turicensis,cronobacter turicensis,cronobacter turicensis,bacteria,,,,,,,,,,,,,,,,
cryptobacterium curtum,cryptobacterium curtum,cryptobacterium curtum,bacteria,,,,,,,,,,,,,,,,
cupriavidus basilensis,cupriavidus basilensis,cupriavidus basilensis,bacteria,,,,,,,,,,,,,,,,
cupriavidus taiwanensis,cupriavidus taiwanensis,cupriavidus taiwanensis,bacteria,,,,,,,,,,,,,,,,
desmospora activa,desmospora activa,desmospora activa,bacteria,,,,,,,,,,,,,,,,
desulfomicrobium orale,desulfomicrobium orale,desulfomicrobium orale,bacteria,,,,,,,,,,,,,,,,
desulfovibrio piger,desulfovibrio piger,desulfovibrio piger,bacteria,,,,,,,,,,,,,,,,
dialister invisus,dialister invisus,dialister invisus,bacteria,,,,,,,,,,,,,,,,
dialister micraerophilus,dialister micraerophilus,dialister micraerophilus,bacteria,,,,,,,,,,,,,,,,
dialister pneumosintes,dialister pneumosintes,dialister pneumosintes,bacteria,,,,,,,,,,,,,,,,
dialister succinatiphilus,dialister succinatiphilus,dialister succinatiphilus,bacteria,,,,,,,,,,,,,,,,
diaphorobacter nitroreducens,diaphorobacter nitroreducens,diaphorobacter nitroreducens,bacteria,,,,,,,,,,,,,,,,
dietzia maris,dietzia maris,dietzia maris,bacteria,,,,,,,,,,,,,,,,
dietzia natronolimnaea,dietzia natronolimnaea,dietzia natronolimnaea,bacteria,,,,,,,,,,,,,,,,
dietzia timorensis,dietzia timorensis,dietzia timorensis,bacteria,,,,,,,,,,,,,,,,
dokdonella koreensis,dokdonella koreensis,dokdonella koreensis,bacteria,,,,,,,,,,,,,,,,
dolosigranulum pigrum,dolosigranulum pigrum,dolosigranulum pigrum,bacteria,,,,,,,,,,,,,,,,
dorea formicigenerans,dorea formicigenerans,dorea formicigenerans,bacteria,,,,,,,,,,,,,,,,
dorea longicatena,dorea longicatena,dorea longicatena,bacteria,,,,,,,,,,,,,,,,
eggerthella lenta,eggerthella lenta,eggerthella lenta,bacteria,,,,,,,,,,,,,,,,
enterobacter kobei,enterobacter kobei,enterobacter kobei,bacteria,,,,,,,,,,,,,,,,
enterococcus gilvus,enterococcus gilvus,enterococcus gilvus,bacteria,,,,,,,,,,,,,,,,
enterococcus hawaiiensis,enterococcus hawaiiensis,enterococcus hawaiiensis,bacteria,,,,,,,,,,,,,,,,
enterococcus italicus,enterococcus italicus,enterococcus italicus,bacteria,,,,,,,,,,,,,,,,
enterococcus pallens,enterococcus pallens,enterococcus pallens,bacteria,,,,,,,,,,,,,,,,
enterococcus sanguinicola,enterococcus sanguinicola,enterococcus sanguinicola,bacteria,,,,,,,,,,,,,,,,
enterococcus thailandicus,enterococcus thailandicus,enterococcus thailandicus,bacteria,,,,,,,,,,,,,,,,
erythromicrobium ramosum,erythromicrobium ramosum,erythromicrobium ramosum,bacteria,,,,,,,,,,,,,,,,
eubacterium biforme,eubacterium biforme,eubacterium biforme,bacteria,,,,,,,,,,,,,,,,
eubacterium brachy,eubacterium brachy,eubacterium brachy,bacteria,,,,,,,,,,,,,,,,
eubacterium cylindroides,eubacterium cylindroides,eubacterium cylindroides,bacteria,,,,,,,,,,,,,,,,
eubacterium hallii,eubacterium hallii,eubacterium hallii,bacteria,,,,,,,,,,,,,,,,
eubacterium limosum,eubacterium limosum,eubacterium limosum,bacteria,,,,,,,,,,,,,,,,
eubacterium minutum,eubacterium minutum,eubacterium minutum,bacteria,,,,,,,,,,,,,,,,
eubacterium rectale,eubacterium rectale,eubacterium rectale,bacteria,,,,,,,,,,,,,,,,
eubacterium saburreum,eubacterium saburreum,eubacterium saburreum,bacteria,,,,,,,,,,,,,,,,
eubacterium saphenum,eubacterium saphenum,eubacterium saphenum,bacteria,,,,,,,,,,,,,,,,
eubacterium sulci,eubacterium sulci,eubacterium sulci,bacteria,,,,,,,,,,,,,,,,
eubacterium yurii,eubacterium yurii,eubacterium yurii,bacteria,,,,,,,,,,,,,,,,
faecalibacterium prausnitzii,faecalibacterium prausnitzii,faecalibacterium prausnitzii,bacteria,,,,,,,,,,,,,,,,
filifactor alocis,filifactor alocis,filifactor alocis,bacteria,,,,,,,,,,,,,,,,
finegoldia magna,finegoldia magna,finegoldia magna,bacteria,,,,,,,,,,,,,,,,
flavobacterium lindanitolerans,flavobacterium lindanitolerans,flavobacterium lindanitolerans,bacteria,,,,,,,,,,,,,,,,
flavonifractor plautii,flavonifractor plautii,flavonifractor plautii,bacteria,,,,,,,,,,,,,,,,
fluoribacter dumoffii,fluoribacter dumoffii,fluoribacter dumoffii,bacteria,,,,,,,,,,,,,,,,
francisella philomiragia,francisella philomiragia,francisella philomiragia,bacteria,,,,,,,,,,,,,,,,
fusobacterium gonidiaformans,fusobacterium gonidiaformans,fusobacterium gonidiaformans,bacteria,,,,,,,,,,,,,,,,
fusobacterium naviforme,fusobacterium naviforme,fusobacterium naviforme,bacteria,,,,,,,,,,,,,,,,
fusobacterium periodonticum,fusobacterium periodonticum,fusobacterium periodonticum,bacteria,,,,,,,,,,,,,,,,
fusobacterium ulcerans,fusobacterium ulcerans,fusobacterium ulcerans,bacteria,,,,,,,,,,,,,,,,
gardnerella vaginalis,gardnerella vaginalis,gardnerella vaginalis,bacteria,,,,,,,,,,,,,,,,
gemella haemolysans,gemella haemolysans,gemella haemolysans,bacteria,,,,,,,,,,,,,,,,
gemella morbillorum,gemella morbillorum,gemella morbillorum,bacteria,,,,,,,,,,,,,,,,
gemella sanguinis,gemella sanguinis,gemella sanguinis,bacteria,,,,,,,,,,,,,,,,
gordonia aichiensis,gordonia aichiensis,gordonia aichiensis,bacteria,,,,,,,,,,,,,,,,
gordonia terrae,gordonia terrae,gordonia terrae,bacteria,,,,,,,,,,,,,,,,
granulicatella adiacens,granulicatella adiacens,granulicatella adiacens,bacteria,,,,,,,,,,,,,,,,
granulicatella elegans,granulicatella elegans,granulicatella elegans,bacteria,,,,,,,,,,,,,,,,
grimontia hollisae,grimontia hollisae,grimontia hollisae,bacteria,,,,,,,,,,,,,,,,
guggenheimella bovis,guggenheimella bovis,guggenheimella bovis,bacteria,,,,,,,,,,,,,,,,
haemophilus aegyptius,haemophilus aegyptius,haemophilus aegyptius,bacteria,,,,,,,,,,,,,,,,
haemophilus ducreyi,haemophilus ducreyi,haemophilus ducreyi,bacteria,,,,,,,,,,,,,,,,
haemophilus haemolyticus,haemophilus haemolyticus,haemophilus haemolyticus,bacteria,,,,,,,,,,,,,,,,
haemophilus influenzae,haemophilus influenzae,haemophilus influenzae,bacteria,,,,,,,,,,,,,,,,
haemophilus parahaemolyticus,haemophilus parahaemolyticus,haemophilus parahaemolyticus,bacteria,,,,,,,,,,,,,,,,
haemophilus parainfluenzae,haemophilus parainfluenzae,haemophilus parainfluenzae,bacteria,,,,,,,,,,,,,,,,
herminiimonas saxobsidens,herminiimonas saxobsidens,herminiimonas saxobsidens,bacteria,,,,,,,,,,,,,,,,
ignatzschineria indica,ignatzschineria indica,ignatzschineria indica,bacteria,,,,,,,,,,,,,,,,
janibacter anophelis,janibacter anophelis,janibacter anophelis,bacteria,,,,,,,,,,,,,,,,
johnsonella ignava,johnsonella ignava,johnsonella ignava,bacteria,,,,,,,,,,,,,,,,
jonquetella anthropi,jonquetella anthropi,jonquetella anthropi,bacteria,,,,,,,,,,,,,,,,
kingella denitrificans,kingella denitrificans,kingella denitrificans,bacteria,,,,,,,,,,,,,,,,
kingella kingae,kingella kingae,kingella kingae,bacteria,,,,,,,,,,,,,,,,
kingella oralis,kingella oralis,kingella oralis,bacteria,,,,,,,,,,,,,,,,
klebsiella granulomatis,klebsiella granulomatis,klebsiella granulomatis,bacteria,,,,,,,,,,,,,,,,
kluyvera ascorbata,kluyvera ascorbata,kluyvera ascorbata,bacteria,,,,,,,,,,,,,,,,
kocuria polaris,kocuria polaris,kocuria polaris,bacteria,,,,,,,,,,,,,,,,
lactobacillus acidipiscis,lactobacillus acidipiscis,lactobacillus acidipiscis,bacteria,,,,,,,,,,,,,,,,
lactobacillus catenaformis,lactobacillus catenaformis,lactobacillus catenaformis,bacteria,,,,,,,,,,,,,,,,
lactobacillus coleohominis,lactobacillus coleohominis,lactobacillus coleohominis,bacteria,,,,,,,,,,,,,,,,
lactobacillus delbrueckii,lactobacillus delbrueckii,lactobacillus delbrueckii,bacteria,,,,,,,,,,,,,,,,
lactobacillus gastricus,lactobacillus gastricus,lactobacillus gastricus,bacteria,,,,,,,,,,,,,,,,
lactobacillus helveticus,lactobacillus helveticus,lactobacillus helveticus,bacteria,,,,,,,,,,,,,,,,
lactobacillus iners,lactobacillus iners,lactobacillus iners,bacteria,,,,,,,,,,,,,,,,
lactobacillus jensenii,lactobacillus jensenii,lactobacillus jensenii,bacteria,,,,,,,,,,,,,,,,
lactobacillus kalixensis,lactobacillus kalixensis,lactobacillus kalixensis,bacteria,,,,,,,,,,,,,,,,
lactobacillus oris,lactobacillus oris,lactobacillus oris,bacteria,,,,,,,,,,,,,,,,
lactobacillus parabuchneri,lactobacillus parabuchneri,lactobacillus parabuchneri,bacteria,,,,,,,,,,,,,,,,
lactobacillus paracasei,lactobacillus paracasei,lactobacillus paracasei,bacteria,,,,,,,,,,,,,,,,
lactobacillus rhamnosus,lactobacillus rhamnosus,lactobacillus rhamnosus,bacteria,,,,,,,,,,,,,,,,
lactobacillus ultunensis,lactobacillus ultunensis,lactobacillus ultunensis,bacteria,,,,,,,,,,,,,,,,
lactobacillus vaginalis,lactobacillus vaginalis,lactobacillus vaginalis,bacteria,,,,,,,,,,,,,,,,
laribacter hongkongensis,laribacter hongkongensis,laribacter hongkongensis,bacteria,,,,,,,,,,,,,,,,
lautropia mirabilis,lautropia mirabilis,lautropia mirabilis,bacteria,,,,,,,,,,,,,,,,
legionella anisa,legionella anisa,legionella anisa,bacteria,,,,,,,,,,,,,,,,
legionella longbeachae,legionella longbeachae,legionella longbeachae,bacteria,,,,,,,,,,,,,,,,
legionella pneumophila,legionella pneumophila,legionella pneumophila,bacteria,,,,,,,,,,,,,,,,
leptospira inadai,leptospira inadai,leptospira inadai,bacteria,,,,,,,,,,,,,,,,
leptotrichia buccalis,leptotrichia buccalis,leptotrichia buccalis,bacteria,,,,,,,,,,,,,,,,
leptotrichia goodfellowii,leptotrichia goodfellowii,leptotrichia goodfellowii,bacteria,,,,,,,,,,,,,,,,
leptotrichia hofstadii,leptotrichia hofstadii,leptotrichia hofstadii,bacteria,,,,,,,,,,,,,,,,
leptotrichia shahii,leptotrichia shahii,leptotrichia shahii,bacteria,,,,,,,,,,,,,,,,
leptotrichia trevisanii,leptotrichia trevisanii,leptotrichia trevisanii,bacteria,,,,,,,,,,,,,,,,
leptotrichia wadei,leptotrichia wadei,leptotrichia wadei,bacteria,,,,,,,,,,,,,,,,
leuconostoc citreum,leuconostoc citreum,leuconostoc citreum,bacteria,,,,,,,,,,,,,,,,
leuconostoc fallax,leuconostoc fallax,leuconostoc fallax,bacteria,,,,,,,,,,,,,,,,
