Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
adelaide river,adelaide river,adelaide river virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
adeno-associated virus-1,adeno-associated virus-1,adeno-associated virus-1,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
adeno-associated virus-2,adeno-associated virus-2,adeno-associated virus-2,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
adeno-associated virus-5,adeno-associated virus-5,adeno-associated virus-5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
african green monkey polyomavirus,african green monkey polyomavirus,african green monkey polyomavirus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
african green monkey simian foamy,african green monkey simian foamy,african green monkey simian foamy virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
african horse sickness,african horse sickness,african horse sickness virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
african swine fever,african swine fever,african swine fever virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
aichi,aichi,aichi virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
akabane,akabane,akabane virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
alcelaphine herpesvirus 1,alcelaphine herpesvirus 1,alcelaphine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
alcelaphine herpesvirus 2,alcelaphine herpesvirus 2,alcelaphine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
aleutian mink disease,aleutian mink disease,aleutian mink disease virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
allpaahuayo,allpaahuayo,allpahuayo virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
amapari,amapari,amapari virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
andes,andes,andes virus,virus,1,1,1,1,1,1,hantavirus pulmonary syndrome,"direct, environmental, respiratory",1,0,NA,1,hantavirus cardiopulmonary syndrome,1
anopheles a,anopheles a,anopheles a virus,virus,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0
anopheles b,anopheles b,anopheles b virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
apoi,apoi,apoi virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
araguari,araguari,araguari virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
aravan,aravan,aravan virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
arctic squirrel hepatitis,arctic squirrel hepatitis,arctic squirrel hepatitis virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
aroa,aroa,aroa virus,virus,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0
arumowot,arumowot,arumowot virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ateline herpesvirus 1,ateline herpesvirus 1,ateline herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ateline herpesvirus 2,ateline herpesvirus 2,ateline herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
aura,aura,aura virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
australian bat lyssavirus,australian bat lyssavirus,australian bat lyssavirus,virus,1,1,1,1,1,1,rabies,"direct, bite",1,0,NA,1,fatal encephalitis,1
baboon orthoreovirus,baboon orthoreovirus,baboon orthoreovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
baboon polyomavirus 2,baboon polyomavirus 2,baboon polyomavirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bakau,bakau,bakau virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bangui,bangui,bangui virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
banna,banna,banna virus,virus,1,1,1,1,1,1,old world coltivirus infection,vector,1,1,"mosquito (culex spp., anopheles spp., aedes spp.)",1,Encephalitis,1
banzi,banzi,banzi virus,virus,1,1,1,1,1,1,spondweni,vector,1,1,"mosquito (Aedes circumluteolus, Armigeres, Culex, Eretmapodites, Mansonia)",0,NA,1
barmah forest,barmah forest,barmah forest virus,virus,1,0,1,1,1,1,barmah forest disease,vector,1,1,"mosquito (Aedes vigilax, Ae. camptorhynchus, Culex spp., Ae. normanensis and Coquillettidia spp)",1,Barmah Forest virus disease,1
barur,barur,barur virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bayou,bayou,bayou virus,virus,1,1,1,1,1,1,hantavirus pulmonary syndrome,"direct, environment, respiratory",1,0,NA,1,Hantavirus Pulmonary Syndrome,1
bear canyon,bear canyon,bear canyon virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bebaru,bebaru,bebaru virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
berrimah,berrimah,berrimah virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bhanja,bhanja,bhanja virus,virus,1,0,1,1,1,1,bunyaviridae misc,vector,1,0,NA,0,NA,1
bimiti,bimiti,bimiti virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bivens arm,bivens arm,bivens arm virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bk polyomavirus,bk polyomavirus,human polyomavirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
black creek canal,black creek canal,black creek canal virus,virus,1,1,1,1,1,1,hantavirus pulmonary syndrome,"direct, environment, respiratory",1,0,NA,1,Hantavirus Pulmonary Syndrome,1
bluetongue,bluetongue,bluetongue virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
border disease,border disease,border disease virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
borna disease,borna,borna disease virus,virus,1,0,1,1,1,1,borna virus encephalitis,unknown,1,0,NA,1,none reported,1
bouboui,bouboui,bouboui virus,virus,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus a,bovine adenovirus a,bovine adenovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus b,bovine adenovirus b,bovine adenovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus c,bovine adenovirus c,bovine adenovirus c,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus d,bovine adenovirus d,bovine adenovirus d,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus e,bovine adenovirus e,bovine adenovirus e,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine astrovirus,bovine astrovirus,bovine astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine coronavirus,bovine coronavirus,bovine coronavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine enteric calicivirus strain nb,bovine enteric calicivirus strain nb,bovine enteric calicivirus strain nb,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine ephemeral fever,bovine ephemeral fever,bovine ephemeral fever virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine foamy,bovine foamy,bovine foamy virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine herpesvirus 1,bovine herpesvirus 1,bovine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine herpesvirus 2,bovine herpesvirus 2,bovine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine herpesvirus 4,bovine herpesvirus 4,bovine herpesvirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine herpesvirus 5,bovine herpesvirus 5,bovine herpesvirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine immunodeficiency,bovine immunodeficiency,bovine immunodeficiency virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine leukemia,bovine leukemia,bovine leukemia virus,virus,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine norovirus-ch126,bovine norovirus-ch126,bovine norovirus-ch126,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine norovirus-jena,bovine norovirus-jena,bovine norovirus-jena,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine papillomavirus 1,bovine papillomavirus 1,bovine papillomavirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine papillomavirus 3,bovine papillomavirus 3,bovine papillomavirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine papillomavirus 5,bovine papillomavirus 5,bovine papillomavirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine papular stomatitis,bovine papular stomatitis,bovine papular stomatitis virus,virus,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1
bovine parainfluenza virus 3,bovine parainfluenza virus 3,bovine parainfluenza virus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine parvovirus,bovine parvovirus,bovine parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine polyomavirus,bovine polyomavirus,bovine polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine respiratory syncytial,bovine respiratory syncytial,bovine respiratory syncytial virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine torovirus,bovine torovirus,bovine torovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine viral diarrhea virus 1,bovine viral diarrhea virus 1,bovine viral diarrhea virus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine viral diarrhea virus 2,bovine viral diarrhea virus 2,bovine viral diarrhea virus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bubaline herpesvirus 1,bubaline herpesvirus 1,bubaline herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bujaru,bujaru,bujaru virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bukalasa bat,bukalasa bat,bukalasa bat virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bunyamwera,bunyamwera,bunyamwera virus,virus,1,1,1,1,1,1,bunyaviridae misc,vector,1,1,mosquito,1,viral hemorrhagic fever,1
bwamba,bwamba,bwamba virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cabassou,cabassou,cabassou virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cacipacore,cacipacore,cacipacore virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
